,,,,,,決算期,決算月数,本決算・中間決算フラグ,実績・予想フラグ,連結基準フラグ,データ更新日,売上高,営業利益,経常利益,当期利益,一株利益,一株利益（自己株除く）
,,,,,,EARNING'ACC,EARNING'MACC,EARNING'HACC,EARNING'RPFLG,EARNING'CFLAG,EARNING'FLUPDATE,EARNING'ITEM02,EARNING'ITEM03,EARNING'ITEM04,EARNING'ITEM05,EARNING'ITEM06,EARNING'ITEM43
,,,,,,年月,ヶ月,,,,年月日,百万円,百万円,百万円,百万円,円,円
月次(M),1997/10,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/10,トヨタ自動車,T7203,,,1997/10,,2,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/11,トヨタ自動車,T7203,,,1997/11,,2,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1997/12,トヨタ自動車,T7203,,,1997/12,,2,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1998/01,トヨタ自動車,T7203,,,1998/01,,2,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1998/02,トヨタ自動車,T7203,,,1998/02,,2,,,,,,,,,
月次(M),1998/03,トヨタ自動車,T7203,#001,#001,1998/03,12,1,2,1,1997/05/21,11200000,-,750000,450000,118.69,-
月次(M),1998/03,トヨタ自動車,T7203,#002,#002,1998/03,12,1,2,1,1997/09/05,11400000,-,850000,500000,131.36,-
月次(M),1998/03,トヨタ自動車,T7203,#003,#003,1998/03,12,1,2,1,1997/09/13,11400000,-,850000,500000,131.36,-
月次(M),1998/03,トヨタ自動車,T7203,#004,#004,1998/03,12,1,2,1,1997/12/16,11400000,-,850000,500000,131.36,-
月次(M),1998/03,トヨタ自動車,T7203,#005,#005,1998/03,12,1,2,1,1998/03/14,11400000,-,850000,500000,131.36,-
月次(M),1998/03,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1998/03,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1998/03,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1998/03,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1998/03,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1998/03,トヨタ自動車,T7203,#999,#999,1998/03,12,1,0,1,1998/05/20,11678397,779797,828791,454349,119.43,-
月次(M),1998/03,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1998/04,トヨタ自動車,T7203,,,1998/04,,1,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1998/05,トヨタ自動車,T7203,,,1998/05,,1,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1998/06,トヨタ自動車,T7203,,,1998/06,,1,,,,,,,,,
