,,,,,,決算期,決算月数,本決算・中間決算フラグ,実績・予想フラグ,連結基準フラグ,データ更新日,売上高,営業利益,経常利益,当期利益,一株利益,一株利益（自己株除く）
,,,,,,EARNING'ACC,EARNING'MACC,EARNING'HACC,EARNING'RPFLG,EARNING'CFLAG,EARNING'FLUPDATE,EARNING'ITEM02,EARNING'ITEM03,EARNING'ITEM04,EARNING'ITEM05,EARNING'ITEM06,EARNING'ITEM43
,,,,,,年月,ヶ月,,,,年月日,百万円,百万円,百万円,百万円,円,円
月次(M),2002/03,トヨタ自動車,T7203,#005,#005,2002/03,12,1,2,1,2001/11/08,14000000,-,1020000,550000,150.69,-
月次(M),2002/03,トヨタ自動車,T7203,#006,#006,2002/03,12,1,2,1,2001/12/15,14000000,-,1020000,550000,150.69,-
月次(M),2002/03,トヨタ自動車,T7203,#007,#007,2002/03,12,1,2,1,2002/03/12,14000000,-,1020000,550000,150.69,-
月次(M),2002/03,トヨタ自動車,T7203,#008,#008,2002/03,12,1,2,1,2002/03/16,14000000,-,1020000,550000,150.69,-
月次(M),2002/03,トヨタ自動車,T7203,#009,#009,2002/03,12,1,2,1,2002/03/29,14500000,-,1100000,600000,164.38,-
月次(M),2002/03,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/03,トヨタ自動車,T7203,#999,#999,2002/03,12,1,0,2,2010/01/27,14190308,1093632,972101,556567,152.26,-
月次(M),2002/03,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/04,トヨタ自動車,T7203,,,2002/04,,1,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/05,トヨタ自動車,T7203,,,2002/05,,1,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/06,トヨタ自動車,T7203,,,2002/06,,1,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/07,トヨタ自動車,T7203,,,2002/07,,1,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/08,トヨタ自動車,T7203,,,2002/08,,1,,,,,,,,,
月次(M),2002/09,トヨタ自動車,T7203,#001,#001,2002/09,6,2,2,1,2001/12/15,7000000,-,540000,300000,82.19,-
月次(M),2002/09,トヨタ自動車,T7203,#002,#002,2002/09,6,2,2,1,2002/03/16,7000000,-,540000,300000,82.19,-
月次(M),2002/09,トヨタ自動車,T7203,#003,#003,2002/09,6,2,2,1,2002/03/29,7500000,-,570000,310000,84.93,-
月次(M),2002/09,トヨタ自動車,T7203,#004,#004,2002/09,6,2,2,1,2002/05/13,800000,-,650000,350000,95.89,-
月次(M),2002/09,トヨタ自動車,T7203,#005,#005,2002/09,6,2,2,1,2002/05/20,8000000,-,650000,350000,95.89,-
月次(M),2002/09,トヨタ自動車,T7203,#006,#006,2002/09,6,2,2,1,2002/09/10,8000000,-,650000,430000,119.11,-
月次(M),2002/09,トヨタ自動車,T7203,#007,#007,2002/09,6,2,2,1,2002/09/14,8000000,-,650000,430000,119.11,-
月次(M),2002/09,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/09,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/09,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/09,トヨタ自動車,T7203,#999,#999,2002/09,6,2,0,2,2010/01/27,7613422,685023,714461,425800,118.44,-
月次(M),2002/09,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/10,トヨタ自動車,T7203,,,2002/10,,2,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/11,トヨタ自動車,T7203,,,2002/11,,2,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2002/12,トヨタ自動車,T7203,,,2002/12,,2,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/01,トヨタ自動車,T7203,,,2003/01,,2,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/02,トヨタ自動車,T7203,,,2003/02,,2,,,,,,,,,
月次(M),2003/03,トヨタ自動車,T7203,#001,#001,2003/03,12,1,2,1,2002/05/13,15800000,-,1280000,700000,191.78,-
月次(M),2003/03,トヨタ自動車,T7203,#002,#002,2003/03,12,1,2,1,2002/09/10,15800000,-,1280000,820000,227.15,-
月次(M),2003/03,トヨタ自動車,T7203,#003,#003,2003/03,12,1,2,1,2002/09/14,15800000,-,1280000,820000,227.15,-
月次(M),2003/03,トヨタ自動車,T7203,#004,#004,2003/03,12,1,2,1,2002/10/30,15500000,-,1450000,798000,221.05,-
月次(M),2003/03,トヨタ自動車,T7203,#005,#005,2003/03,12,1,2,1,2002/12/14,15800000,-,1450000,910000,252.08,-
月次(M),2003/03,トヨタ自動車,T7203,#006,#006,2003/03,12,1,2,1,2003/03/11,15800000,-,1450000,910000,252.08,-
月次(M),2003/03,トヨタ自動車,T7203,#007,#007,2003/03,12,1,2,1,2003/03/15,15800000,-,1450000,910000,252.08,-
月次(M),2003/03,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/03,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/03,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/03,トヨタ自動車,T7203,#999,#999,2003/03,12,1,0,2,2008/07/07,15501553,1271646,1226652,750942,211.32,-
月次(M),2003/03,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/04,トヨタ自動車,T7203,,,2003/04,,1,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/05,トヨタ自動車,T7203,,,2003/05,,1,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/06,トヨタ自動車,T7203,,,2003/06,,1,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/07,トヨタ自動車,T7203,,,2003/07,,1,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/08,トヨタ自動車,T7203,,,2003/08,,1,,,,,,,,,
月次(M),2003/09,トヨタ自動車,T7203,#001,#001,2003/09,6,2,2,1,2002/12/14,7800000,-,740000,410000,113.57,-
月次(M),2003/09,トヨタ自動車,T7203,#002,#002,2003/09,6,2,2,1,2003/03/15,7800000,-,740000,410000,113.57,-
月次(M),2003/09,トヨタ自動車,T7203,#003,#003,2003/09,6,2,2,1,2003/05/08,7900000,-,650000,370000,102.49,-
月次(M),2003/09,トヨタ自動車,T7203,#004,#004,2003/09,6,2,2,2,2003/08/25,8200000,690000,720000,430000,119.11,-
月次(M),2003/09,トヨタ自動車,T7203,#005,#005,2003/09,6,2,2,2,2003/09/09,8200000,690000,720000,430000,119.11,-
月次(M),2003/09,トヨタ自動車,T7203,#006,#006,2003/09,6,2,2,2,2003/09/13,8200000,690000,720000,430000,119.11,-
月次(M),2003/09,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/09,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/09,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/09,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/09,トヨタ自動車,T7203,#999,#999,2003/09,6,2,0,2,2004/11/01,8224241,767769,812013,524460,153.36,-
月次(M),2003/09,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/10,トヨタ自動車,T7203,,,2003/10,,2,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/11,トヨタ自動車,T7203,,,2003/11,,2,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2003/12,トヨタ自動車,T7203,,,2003/12,,2,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2004/01,トヨタ自動車,T7203,,,2004/01,,2,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2004/02,トヨタ自動車,T7203,,,2004/02,,2,,,,,,,,,
月次(M),2004/03,トヨタ自動車,T7203,#001,#001,2004/03,12,1,2,1,2003/05/08,16100000,-,1350000,770000,213.3,-
月次(M),2004/03,トヨタ自動車,T7203,#002,#002,2004/03,12,1,2,2,2003/08/25,16400000,1300000,1330000,906000,250.97,-
月次(M),2004/03,トヨタ自動車,T7203,#003,#003,2004/03,12,1,2,2,2003/09/09,16400000,1300000,1330000,906000,250.97,-
月次(M),2004/03,トヨタ自動車,T7203,#004,#004,2004/03,12,1,2,2,2003/09/13,16400000,1300000,1330000,906000,250.97,-
月次(M),2004/03,トヨタ自動車,T7203,#005,#005,2004/03,12,1,2,2,2003/11/05,16400000,-,1600000,960000,265.93,-
月次(M),2004/03,トヨタ自動車,T7203,#006,#006,2004/03,12,1,2,2,2003/12/13,16400000,1350000,1600000,960000,265.93,-
月次(M),2004/03,トヨタ自動車,T7203,#007,#007,2004/03,12,1,2,2,2004/02/05,16800000,-,1580000,1610000,445.98,-
月次(M),2004/03,トヨタ自動車,T7203,#008,#008,2004/03,12,1,2,2,2004/02/06,16800000,1580000,1610000,1050000,290.86,-
月次(M),2004/03,トヨタ自動車,T7203,#009,#009,2004/03,12,1,2,2,2004/03/09,16800000,1580000,1610000,1050000,290.86,-
月次(M),2004/03,トヨタ自動車,T7203,#010,#010,2004/03,12,1,2,2,2004/03/13,16800000,1580000,1610000,1050000,290.86,-
月次(M),2004/03,トヨタ自動車,T7203,#999,#999,2004/03,12,1,0,2,2005/05/10,17294760,1666890,1765793,1162098,342.9,-
月次(M),2004/03,トヨタ自動車,T7203,,,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),2004/04,トヨタ自動車,T7203,,,2004/04,,1,,,,,,,,,
