Firm,U-RW,U-SRW,U-ARIMA-F,U-ARIMA-G,U-ARIMA-BR,M-OLS1,M-OLS2,M-OLS3,U-RIDGE,U-LASSO,U-EN,U-RF,U-NN,M-RIDGE,M-LASSO,M-EN,M-RF,M-NN,IBES
フジテック,8.3,0.0,0.0,8.3,0.0,8.3,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
フジミインコーポレーテッド,8.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
フジ・メディア・ホールディング,25.0,25.0,16.7,91.7,100.0,100.0,91.7,83.3,100.0,100.0,100.0,16.7,91.7,91.7,66.7,58.3,33.3,83.3,-
フジ住宅,33.3,16.7,16.7,16.7,16.7,33.3,16.7,75.0,16.7,16.7,16.7,16.7,33.3,16.7,8.3,0.0,16.7,16.7,-
フタバ産業,41.7,66.7,50.0,50.0,41.7,50.0,41.7,66.7,41.7,33.3,33.3,50.0,50.0,58.3,33.3,25.0,33.3,58.3,-
フランスベッドホールディングス,16.7,8.3,16.7,16.7,8.3,33.3,16.7,75.0,16.7,0.0,0.0,8.3,25.0,16.7,0.0,0.0,16.7,8.3,-
フルサト工業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,-
ブイ・テクノロジー,16.7,50.0,41.7,83.3,66.7,58.3,33.3,58.3,50.0,50.0,50.0,33.3,100.0,25.0,25.0,25.0,16.7,50.0,-
ブラザー工業,16.7,8.3,8.3,16.7,16.7,16.7,8.3,41.7,8.3,8.3,8.3,8.3,16.7,8.3,8.3,8.3,8.3,16.7,-
ブルドックソース,25.0,8.3,16.7,16.7,16.7,25.0,50.0,100.0,33.3,8.3,8.3,16.7,58.3,33.3,8.3,8.3,8.3,25.0,-
プリマハム,16.7,0.0,0.0,8.3,0.0,16.7,16.7,66.7,8.3,0.0,0.0,8.3,16.7,16.7,16.7,16.7,16.7,8.3,-
プレサンスコーポレーション,33.3,16.7,25.0,16.7,16.7,66.7,41.7,75.0,50.0,50.0,50.0,41.7,83.3,25.0,41.7,25.0,33.3,66.7,-
プレス工業,25.0,33.3,33.3,41.7,41.7,25.0,41.7,75.0,41.7,41.7,41.7,33.3,33.3,25.0,8.3,8.3,33.3,25.0,-
プロシップ,25.0,16.7,25.0,8.3,25.0,25.0,8.3,25.0,25.0,25.0,25.0,33.3,41.7,0.0,0.0,0.0,8.3,16.7,-
プロトコーポレーション,25.0,25.0,16.7,33.3,33.3,16.7,25.0,58.3,25.0,8.3,8.3,16.7,25.0,33.3,16.7,16.7,8.3,25.0,-
ヘリオス　テクノ　ホールディン,58.3,83.3,83.3,50.0,50.0,41.7,50.0,83.3,50.0,41.7,41.7,50.0,83.3,66.7,25.0,25.0,25.0,66.7,-
ベネッセホールディングス,66.7,25.0,33.3,8.3,16.7,16.7,33.3,66.7,25.0,16.7,16.7,16.7,16.7,25.0,16.7,8.3,8.3,33.3,-
ベネフィット・ワン,0.0,0.0,0.0,33.3,8.3,91.7,100.0,66.7,16.7,16.7,16.7,0.0,58.3,0.0,0.0,0.0,0.0,16.7,-
ベルーナ,33.3,25.0,25.0,8.3,0.0,16.7,16.7,75.0,25.0,25.0,25.0,16.7,33.3,8.3,16.7,8.3,8.3,8.3,-
ペガサスミシン製造,41.7,33.3,25.0,50.0,25.0,58.3,50.0,91.7,50.0,50.0,50.0,50.0,58.3,50.0,41.7,50.0,41.7,58.3,-
ホウスイ,25.0,25.0,33.3,16.7,25.0,50.0,25.0,83.3,0.0,16.7,16.7,0.0,50.0,41.7,0.0,0.0,0.0,0.0,-
ホギメディカル,25.0,16.7,16.7,25.0,50.0,41.7,41.7,75.0,41.7,58.3,58.3,41.7,33.3,41.7,25.0,8.3,33.3,41.7,-
ホクト,66.7,33.3,41.7,33.3,33.3,50.0,50.0,83.3,33.3,41.7,41.7,33.3,41.7,33.3,33.3,33.3,33.3,41.7,-
ホシデン,25.0,16.7,33.3,25.0,16.7,8.3,25.0,83.3,0.0,0.0,0.0,8.3,25.0,33.3,8.3,16.7,8.3,33.3,-
ホッカンホールディングス,66.7,33.3,33.3,33.3,25.0,58.3,50.0,58.3,41.7,16.7,16.7,41.7,25.0,41.7,50.0,50.0,58.3,41.7,-
ホーチキ,66.7,8.3,16.7,8.3,8.3,16.7,25.0,33.3,25.0,8.3,8.3,25.0,8.3,0.0,0.0,0.0,16.7,16.7,-
マックス,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
マツモトキヨシホールディングス,0.0,0.0,0.0,0.0,0.0,0.0,8.3,41.7,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,-
マルシェ,58.3,50.0,41.7,58.3,75.0,58.3,50.0,91.7,50.0,50.0,50.0,58.3,83.3,50.0,33.3,50.0,58.3,75.0,-
マンダム,50.0,33.3,33.3,25.0,33.3,16.7,41.7,91.7,33.3,33.3,33.3,41.7,41.7,33.3,75.0,16.7,25.0,33.3,-
マースグループホールディングス,50.0,41.7,50.0,41.7,41.7,41.7,50.0,91.7,50.0,50.0,50.0,58.3,41.7,41.7,75.0,58.3,41.7,41.7,-
マーベラス,8.3,16.7,16.7,50.0,66.7,83.3,100.0,83.3,100.0,100.0,100.0,25.0,75.0,8.3,16.7,8.3,41.7,83.3,-
ミスミグループ本社,0.0,8.3,8.3,8.3,8.3,0.0,0.0,50.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,16.7,-
ミズノ,41.7,16.7,25.0,50.0,33.3,66.7,58.3,83.3,41.7,8.3,8.3,25.0,16.7,25.0,8.3,0.0,25.0,25.0,-
ミツウロコグループホールディン,50.0,33.3,33.3,25.0,25.0,33.3,25.0,58.3,33.3,33.3,33.3,16.7,25.0,50.0,25.0,25.0,25.0,25.0,-
ミネベアミツミ,33.3,8.3,8.3,16.7,16.7,8.3,25.0,41.7,8.3,16.7,16.7,16.7,25.0,25.0,16.7,16.7,16.7,16.7,8.3
ミマキエンジニアリング,33.3,66.7,50.0,50.0,58.3,91.7,83.3,66.7,83.3,83.3,83.3,41.7,83.3,58.3,58.3,41.7,58.3,75.0,-
ミロク情報サービス,16.7,25.0,16.7,25.0,25.0,16.7,33.3,33.3,25.0,8.3,8.3,8.3,8.3,25.0,8.3,8.3,8.3,33.3,-
メイコー,50.0,50.0,50.0,41.7,50.0,50.0,91.7,100.0,58.3,41.7,41.7,58.3,83.3,41.7,41.7,41.7,25.0,83.3,-
メイテック,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
メガチップス,66.7,66.7,58.3,41.7,41.7,50.0,75.0,75.0,33.3,41.7,33.3,41.7,75.0,66.7,58.3,58.3,33.3,50.0,-
メディパルホールディングス,0.0,8.3,8.3,8.3,8.3,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,8.3,16.7,-
メルコホールディングス,41.7,16.7,8.3,16.7,25.0,25.0,25.0,91.7,16.7,16.7,16.7,16.7,25.0,33.3,33.3,33.3,16.7,16.7,-
メンバーズ,50.0,8.3,16.7,66.7,83.3,83.3,91.7,58.3,91.7,91.7,91.7,16.7,91.7,16.7,33.3,33.3,33.3,33.3,-
モスフードサービス,41.7,83.3,58.3,50.0,41.7,50.0,50.0,83.3,50.0,50.0,50.0,50.0,50.0,16.7,25.0,16.7,58.3,58.3,-
モリタホールディングス,50.0,8.3,8.3,16.7,8.3,16.7,0.0,33.3,8.3,8.3,8.3,8.3,8.3,0.0,8.3,0.0,0.0,25.0,-
モリ工業,0.0,0.0,0.0,0.0,0.0,0.0,8.3,50.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,-
モーニングスター,0.0,0.0,0.0,91.7,100.0,75.0,83.3,8.3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-
ヤオコー,33.3,25.0,25.0,16.7,16.7,25.0,25.0,58.3,25.0,25.0,25.0,16.7,8.3,8.3,8.3,8.3,16.7,16.7,-
ヤクルト本社,25.0,8.3,8.3,16.7,0.0,16.7,8.3,16.7,16.7,16.7,16.7,16.7,8.3,16.7,16.7,8.3,16.7,25.0,-
ヤマエ久野,41.7,33.3,33.3,33.3,33.3,41.7,41.7,75.0,33.3,33.3,33.3,41.7,41.7,50.0,33.3,41.7,33.3,33.3,-
ヤマタネ,16.7,25.0,16.7,16.7,16.7,16.7,41.7,91.7,8.3,8.3,8.3,8.3,16.7,16.7,8.3,8.3,8.3,16.7,-
ヤマダホールディングス,66.7,41.7,41.7,41.7,33.3,50.0,58.3,75.0,41.7,41.7,41.7,25.0,75.0,50.0,41.7,41.7,25.0,41.7,-
ヤマト,8.3,8.3,8.3,8.3,8.3,8.3,8.3,41.7,8.3,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,8.3,-
ヤマトホールディングス,41.7,50.0,25.0,41.7,25.0,50.0,50.0,66.7,50.0,41.7,33.3,33.3,25.0,16.7,8.3,8.3,8.3,41.7,-
ヤマハ,25.0,25.0,25.0,25.0,16.7,16.7,33.3,66.7,16.7,16.7,16.7,25.0,25.0,33.3,8.3,16.7,16.7,41.7,-
ユアサ商事,16.7,0.0,0.0,0.0,0.0,8.3,0.0,83.3,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,-
ユアテック,50.0,16.7,25.0,16.7,33.3,25.0,33.3,91.7,25.0,25.0,25.0,41.7,41.7,33.3,41.7,41.7,25.0,33.3,-
ユシロ化学工業,33.3,16.7,16.7,33.3,16.7,25.0,25.0,75.0,25.0,25.0,25.0,25.0,16.7,25.0,25.0,25.0,25.0,33.3,-
ユナイテッドアローズ,75.0,41.7,33.3,50.0,41.7,41.7,41.7,58.3,41.7,41.7,50.0,50.0,58.3,16.7,16.7,16.7,41.7,41.7,-
ユニチカ,66.7,50.0,33.3,58.3,41.7,58.3,75.0,100.0,66.7,25.0,25.0,41.7,58.3,58.3,25.0,25.0,66.7,41.7,-
ユーシン精機,8.3,8.3,8.3,8.3,8.3,8.3,16.7,66.7,8.3,8.3,8.3,8.3,16.7,0.0,0.0,0.0,0.0,8.3,-
ユー・エス・エス,16.7,16.7,16.7,25.0,16.7,16.7,16.7,50.0,16.7,16.7,16.7,16.7,25.0,16.7,8.3,8.3,16.7,16.7,-
ヨコオ,16.7,8.3,8.3,8.3,8.3,16.7,16.7,33.3,8.3,0.0,0.0,8.3,25.0,8.3,0.0,8.3,16.7,16.7,-
ヨロズ,75.0,25.0,25.0,50.0,41.7,66.7,58.3,75.0,66.7,66.7,66.7,50.0,75.0,66.7,50.0,58.3,41.7,58.3,-
ヨータイ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,8.3,0.0,-
ライト工業,8.3,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
ラウンドワン,66.7,50.0,41.7,41.7,33.3,50.0,58.3,91.7,25.0,58.3,66.7,25.0,50.0,41.7,58.3,50.0,25.0,41.7,-
ラサ工業,8.3,8.3,8.3,16.7,16.7,41.7,50.0,91.7,8.3,8.3,0.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,-
リオン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
リケン,41.7,25.0,33.3,16.7,25.0,16.7,50.0,91.7,25.0,16.7,16.7,25.0,33.3,25.0,25.0,25.0,16.7,25.0,-
リケンテクノス,8.3,8.3,0.0,8.3,8.3,8.3,0.0,16.7,0.0,0.0,0.0,8.3,8.3,0.0,0.0,0.0,8.3,8.3,-
リコー,50.0,41.7,50.0,66.7,58.3,91.7,75.0,83.3,58.3,50.0,50.0,75.0,83.3,75.0,58.3,50.0,75.0,58.3,41.7
リソルホールディングス,66.7,33.3,50.0,50.0,66.7,66.7,83.3,83.3,50.0,58.3,58.3,75.0,75.0,58.3,50.0,50.0,58.3,58.3,-
リゾートトラスト,58.3,25.0,25.0,16.7,25.0,25.0,41.7,75.0,25.0,41.7,41.7,41.7,41.7,58.3,16.7,16.7,25.0,41.7,-
リックス,8.3,0.0,0.0,0.0,0.0,8.3,0.0,41.7,8.3,0.0,8.3,8.3,8.3,0.0,0.0,0.0,0.0,0.0,-
リョーサン,41.7,25.0,33.3,33.3,33.3,50.0,41.7,50.0,25.0,16.7,16.7,33.3,16.7,41.7,41.7,33.3,25.0,33.3,-
リログループ,16.7,25.0,33.3,25.0,16.7,41.7,50.0,83.3,33.3,33.3,33.3,16.7,25.0,58.3,16.7,16.7,25.0,16.7,-
リンテック,8.3,8.3,8.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
リンナイ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,-
レイズネクスト,16.7,8.3,8.3,8.3,8.3,41.7,8.3,50.0,16.7,0.0,0.0,8.3,0.0,25.0,0.0,0.0,0.0,25.0,-
レオン自動機,50.0,25.0,25.0,33.3,25.0,25.0,41.7,75.0,33.3,41.7,33.3,25.0,33.3,16.7,16.7,8.3,8.3,25.0,-
レシップホールディングス,66.7,58.3,58.3,50.0,33.3,58.3,66.7,66.7,58.3,58.3,58.3,50.0,75.0,50.0,16.7,16.7,25.0,50.0,-
レック,8.3,16.7,0.0,50.0,41.7,0.0,8.3,41.7,8.3,8.3,8.3,16.7,33.3,16.7,8.3,8.3,8.3,8.3,-
レンゴー,8.3,8.3,8.3,0.0,0.0,0.0,16.7,58.3,0.0,0.0,0.0,8.3,25.0,0.0,0.0,0.0,0.0,8.3,-
ロート製薬,25.0,8.3,8.3,16.7,16.7,16.7,16.7,58.3,8.3,8.3,8.3,16.7,8.3,16.7,16.7,16.7,8.3,8.3,-
ローム,8.3,16.7,16.7,33.3,25.0,50.0,50.0,83.3,8.3,8.3,8.3,16.7,16.7,58.3,0.0,0.0,25.0,16.7,16.7
ワイエイシイホールディングス,66.7,50.0,66.7,50.0,41.7,75.0,58.3,75.0,50.0,50.0,50.0,50.0,58.3,75.0,58.3,58.3,25.0,58.3,-
ワコム,66.7,33.3,33.3,83.3,91.7,83.3,83.3,66.7,100.0,100.0,100.0,33.3,100.0,33.3,25.0,25.0,25.0,41.7,-
ワコールホールディングス,50.0,41.7,58.3,58.3,66.7,58.3,66.7,41.7,41.7,33.3,41.7,25.0,50.0,33.3,25.0,25.0,25.0,25.0,-
ワタミ,41.7,41.7,25.0,41.7,25.0,91.7,83.3,91.7,16.7,16.7,8.3,41.7,66.7,50.0,58.3,58.3,50.0,91.7,-
三ツ星ベルト,0.0,8.3,0.0,0.0,0.0,8.3,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
三井不動産,41.7,25.0,25.0,25.0,25.0,16.7,25.0,66.7,16.7,16.7,16.7,25.0,16.7,0.0,0.0,0.0,16.7,16.7,16.7
三井住友建設,8.3,25.0,8.3,8.3,8.3,25.0,8.3,83.3,8.3,0.0,0.0,25.0,33.3,0.0,0.0,0.0,8.3,8.3,-
三井化学,16.7,25.0,25.0,25.0,16.7,25.0,8.3,83.3,8.3,8.3,8.3,25.0,25.0,33.3,16.7,16.7,25.0,25.0,-
三井松島ホールディングス,50.0,58.3,66.7,41.7,41.7,50.0,66.7,41.7,33.3,25.0,25.0,41.7,16.7,58.3,41.7,41.7,41.7,50.0,-
三井金属鉱業,83.3,75.0,58.3,41.7,50.0,66.7,66.7,91.7,66.7,41.7,41.7,66.7,58.3,58.3,66.7,58.3,66.7,50.0,-
三井Ｅ＆Ｓホールディングス,83.3,66.7,66.7,41.7,50.0,66.7,83.3,100.0,100.0,75.0,83.3,75.0,50.0,66.7,58.3,50.0,58.3,58.3,-
三信電気,75.0,25.0,25.0,25.0,25.0,50.0,58.3,100.0,33.3,33.3,33.3,33.3,33.3,100.0,100.0,91.7,25.0,41.7,-
三共生興,58.3,33.3,33.3,33.3,25.0,33.3,50.0,66.7,25.0,25.0,25.0,16.7,25.0,33.3,16.7,16.7,33.3,41.7,-
三和ホールディングス,41.7,25.0,8.3,25.0,8.3,25.0,16.7,41.7,16.7,16.7,16.7,25.0,25.0,16.7,16.7,16.7,16.7,25.0,-
三城ホールディングス,66.7,41.7,41.7,33.3,50.0,50.0,58.3,58.3,33.3,41.7,33.3,41.7,41.7,41.7,41.7,41.7,41.7,50.0,-
三愛石油,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,8.3,0.0,8.3,0.0,0.0,0.0,8.3,-
三晃金属工業,33.3,25.0,25.0,33.3,25.0,33.3,33.3,83.3,41.7,33.3,33.3,33.3,33.3,16.7,16.7,16.7,33.3,25.0,-
三桜工業,58.3,66.7,83.3,83.3,58.3,66.7,75.0,100.0,41.7,41.7,41.7,66.7,66.7,75.0,58.3,50.0,50.0,66.7,-
三機工業,33.3,33.3,25.0,33.3,16.7,25.0,50.0,100.0,33.3,16.7,16.7,25.0,16.7,33.3,25.0,41.7,16.7,41.7,-
三洋化成工業,16.7,25.0,33.3,33.3,25.0,33.3,41.7,100.0,25.0,16.7,16.7,16.7,8.3,33.3,8.3,8.3,8.3,16.7,-
三洋工業,41.7,8.3,25.0,33.3,25.0,33.3,50.0,91.7,41.7,25.0,25.0,33.3,16.7,16.7,33.3,41.7,16.7,33.3,-
三浦工業,8.3,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
三菱ケミカルホールディングス,41.7,58.3,50.0,50.0,50.0,58.3,50.0,50.0,50.0,41.7,41.7,58.3,41.7,66.7,66.7,58.3,41.7,33.3,-
三菱ロジスネクスト,50.0,58.3,66.7,33.3,41.7,41.7,41.7,91.7,41.7,41.7,25.0,41.7,50.0,50.0,41.7,50.0,33.3,41.7,-
三菱倉庫,16.7,0.0,8.3,8.3,8.3,33.3,16.7,50.0,25.0,0.0,0.0,16.7,8.3,25.0,33.3,33.3,8.3,16.7,-
三菱化工機,25.0,25.0,16.7,16.7,8.3,41.7,58.3,66.7,25.0,8.3,8.3,16.7,25.0,41.7,33.3,33.3,16.7,25.0,-
三菱地所,8.3,0.0,0.0,0.0,0.0,16.7,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三菱瓦斯化学,8.3,25.0,25.0,16.7,16.7,16.7,16.7,75.0,16.7,0.0,0.0,8.3,16.7,16.7,16.7,16.7,25.0,16.7,-
三菱製紙,91.7,41.7,41.7,50.0,41.7,33.3,66.7,91.7,33.3,58.3,25.0,41.7,58.3,75.0,58.3,33.3,41.7,58.3,-
三菱製鋼,66.7,58.3,50.0,66.7,83.3,100.0,83.3,91.7,75.0,33.3,33.3,83.3,66.7,91.7,91.7,91.7,66.7,75.0,-
三菱重工業,25.0,41.7,50.0,33.3,41.7,66.7,58.3,83.3,50.0,25.0,25.0,41.7,41.7,50.0,33.3,33.3,25.0,41.7,-
三菱電機,8.3,8.3,8.3,8.3,8.3,8.3,8.3,25.0,8.3,8.3,8.3,8.3,8.3,0.0,0.0,0.0,8.3,16.7,0.0
三谷セキサン,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
三谷産業,33.3,33.3,16.7,16.7,33.3,41.7,50.0,58.3,33.3,25.0,25.0,41.7,16.7,16.7,16.7,16.7,33.3,41.7,-
三越伊勢丹ホールディングス,83.3,66.7,50.0,66.7,58.3,58.3,50.0,100.0,50.0,58.3,58.3,50.0,66.7,83.3,41.7,41.7,41.7,75.0,-
三重交通グループホールディング,33.3,25.0,33.3,25.0,33.3,33.3,33.3,50.0,33.3,33.3,33.3,25.0,33.3,16.7,25.0,25.0,25.0,33.3,-
上新電機,25.0,8.3,25.0,8.3,16.7,16.7,33.3,58.3,16.7,0.0,0.0,8.3,16.7,8.3,8.3,8.3,25.0,8.3,-
上組,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
不二製油グループ本社,8.3,8.3,8.3,8.3,8.3,25.0,25.0,41.7,8.3,8.3,8.3,16.7,0.0,41.7,16.7,16.7,16.7,16.7,-
不動テトラ,16.7,8.3,25.0,16.7,8.3,33.3,33.3,100.0,8.3,0.0,0.0,8.3,25.0,8.3,16.7,25.0,8.3,25.0,-
世紀東急工業,16.7,33.3,33.3,41.7,41.7,33.3,33.3,66.7,25.0,16.7,8.3,33.3,25.0,33.3,25.0,25.0,25.0,33.3,-
中国塗料,58.3,58.3,66.7,58.3,58.3,58.3,75.0,83.3,75.0,75.0,75.0,66.7,58.3,50.0,50.0,58.3,58.3,66.7,-
中外炉工業,58.3,33.3,50.0,58.3,41.7,83.3,83.3,58.3,66.7,41.7,41.7,33.3,50.0,16.7,25.0,8.3,41.7,41.7,-
中央倉庫,8.3,8.3,8.3,0.0,0.0,16.7,8.3,91.7,0.0,8.3,8.3,0.0,8.3,8.3,8.3,8.3,8.3,0.0,-
中央発条,33.3,33.3,41.7,33.3,33.3,33.3,58.3,83.3,25.0,25.0,25.0,33.3,33.3,33.3,33.3,33.3,33.3,41.7,-
中山福,58.3,41.7,41.7,33.3,33.3,50.0,66.7,91.7,41.7,41.7,41.7,50.0,66.7,41.7,33.3,33.3,33.3,50.0,-
中山製鋼所,50.0,33.3,33.3,75.0,25.0,75.0,91.7,83.3,91.7,91.7,91.7,33.3,66.7,75.0,66.7,75.0,58.3,66.7,-
中広,66.7,58.3,66.7,58.3,83.3,66.7,41.7,58.3,75.0,91.7,91.7,83.3,66.7,75.0,91.7,91.7,58.3,66.7,-
中村屋,50.0,0.0,0.0,8.3,0.0,58.3,41.7,75.0,8.3,8.3,8.3,0.0,41.7,8.3,0.0,0.0,0.0,16.7,-
中越パルプ工業,83.3,50.0,58.3,66.7,66.7,83.3,100.0,91.7,75.0,58.3,58.3,50.0,58.3,50.0,58.3,50.0,50.0,75.0,-
中部飼料,0.0,0.0,0.0,0.0,0.0,8.3,8.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
中電工,41.7,41.7,25.0,16.7,16.7,25.0,16.7,58.3,25.0,33.3,33.3,25.0,50.0,16.7,8.3,8.3,16.7,16.7,-
丸一鋼管,25.0,25.0,25.0,16.7,16.7,16.7,16.7,33.3,16.7,16.7,16.7,16.7,33.3,0.0,0.0,0.0,16.7,16.7,-
丸井グループ,16.7,16.7,16.7,16.7,16.7,16.7,16.7,66.7,16.7,16.7,16.7,16.7,25.0,16.7,16.7,16.7,16.7,16.7,25.0
丸全昭和運輸,8.3,8.3,25.0,16.7,16.7,8.3,41.7,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
丸大食品,66.7,16.7,33.3,41.7,41.7,58.3,41.7,75.0,25.0,41.7,41.7,25.0,16.7,50.0,41.7,33.3,33.3,41.7,-
丸文,75.0,50.0,58.3,66.7,58.3,83.3,58.3,91.7,58.3,66.7,66.7,58.3,58.3,50.0,66.7,50.0,75.0,75.0,-
丸紅建材リース,16.7,8.3,8.3,8.3,16.7,50.0,25.0,83.3,16.7,8.3,16.7,8.3,8.3,33.3,8.3,8.3,8.3,16.7,-
丸運,25.0,25.0,25.0,16.7,25.0,25.0,25.0,66.7,16.7,16.7,16.7,8.3,41.7,16.7,8.3,16.7,16.7,41.7,-
九電工,25.0,0.0,0.0,8.3,0.0,8.3,0.0,16.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
亀田製菓,16.7,8.3,8.3,16.7,8.3,8.3,0.0,41.7,8.3,8.3,8.3,0.0,16.7,16.7,8.3,0.0,8.3,16.7,-
五洋建設,8.3,0.0,0.0,8.3,8.3,8.3,0.0,33.3,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,-
井村屋グループ,66.7,41.7,50.0,33.3,58.3,66.7,41.7,75.0,50.0,41.7,33.3,50.0,41.7,33.3,25.0,25.0,41.7,50.0,-
京セラ,25.0,33.3,41.7,25.0,25.0,41.7,16.7,33.3,25.0,25.0,25.0,25.0,16.7,33.3,16.7,25.0,25.0,41.7,16.7
京三製作所,66.7,41.7,41.7,25.0,41.7,33.3,33.3,75.0,33.3,25.0,8.3,25.0,25.0,25.0,16.7,16.7,16.7,25.0,-
京成電鉄,33.3,33.3,33.3,33.3,33.3,41.7,33.3,58.3,33.3,33.3,33.3,33.3,33.3,16.7,16.7,16.7,25.0,41.7,-
京浜急行電鉄,41.7,50.0,41.7,41.7,25.0,50.0,50.0,83.3,66.7,58.3,41.7,33.3,50.0,25.0,33.3,25.0,33.3,41.7,-
京王電鉄,41.7,33.3,25.0,33.3,33.3,58.3,50.0,83.3,50.0,41.7,25.0,25.0,25.0,33.3,16.7,16.7,25.0,41.7,-
京都きもの友禅,75.0,58.3,41.7,58.3,66.7,41.7,58.3,100.0,66.7,66.7,58.3,66.7,66.7,58.3,41.7,75.0,58.3,91.7,-
京阪ホールディングス,25.0,25.0,25.0,25.0,33.3,50.0,41.7,66.7,33.3,33.3,33.3,33.3,25.0,33.3,33.3,33.3,25.0,33.3,-
今仙電機製作所,50.0,58.3,33.3,50.0,33.3,25.0,41.7,75.0,41.7,33.3,33.3,33.3,50.0,50.0,41.7,33.3,25.0,50.0,-
任天堂,16.7,0.0,8.3,8.3,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,16.7,25.0,16.7,16.7,0.0,0.0,0.0
伊藤忠エネクス,0.0,8.3,8.3,0.0,0.0,8.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
伊藤忠テクノソリューションズ,25.0,8.3,16.7,25.0,16.7,8.3,8.3,0.0,16.7,16.7,16.7,25.0,8.3,0.0,0.0,0.0,8.3,8.3,0.0
伯東,25.0,33.3,33.3,8.3,8.3,16.7,8.3,33.3,8.3,8.3,8.3,16.7,25.0,25.0,16.7,16.7,16.7,16.7,-
住友ベークライト,25.0,33.3,25.0,25.0,33.3,41.7,33.3,83.3,25.0,8.3,8.3,16.7,16.7,33.3,16.7,16.7,16.7,16.7,-
住友不動産,16.7,8.3,8.3,8.3,8.3,8.3,16.7,25.0,16.7,8.3,8.3,8.3,0.0,0.0,0.0,0.0,0.0,8.3,0.0
住友倉庫,25.0,16.7,16.7,25.0,16.7,33.3,33.3,58.3,16.7,8.3,8.3,16.7,16.7,8.3,8.3,8.3,8.3,33.3,-
住友化学,16.7,58.3,25.0,41.7,33.3,41.7,33.3,75.0,25.0,16.7,16.7,25.0,50.0,33.3,25.0,25.0,25.0,33.3,-
住友大阪セメント,8.3,8.3,16.7,8.3,16.7,25.0,33.3,66.7,8.3,8.3,8.3,8.3,8.3,33.3,8.3,8.3,8.3,16.7,-
住友理工,66.7,41.7,58.3,66.7,75.0,58.3,50.0,91.7,58.3,58.3,58.3,50.0,75.0,66.7,50.0,41.7,41.7,66.7,-
住友精化,16.7,16.7,25.0,33.3,33.3,33.3,58.3,75.0,33.3,8.3,8.3,16.7,33.3,33.3,16.7,16.7,8.3,25.0,-
