Firm,U-RW,U-SRW,U-ARIMA-F,U-ARIMA-G,U-ARIMA-BR,M-OLS1,M-OLS2,M-OLS3,U-RIDGE,U-LASSO,U-EN,U-RF,U-NN,M-RIDGE,M-LASSO,M-EN,M-RF,M-NN,IBES
オービックビジネスコンサルタン,8.3,25.0,25.0,8.3,16.7,8.3,8.3,41.7,8.3,8.3,8.3,0.0,16.7,0.0,0.0,0.0,0.0,8.3,-
カシオ計算機,25.0,25.0,25.0,25.0,16.7,8.3,25.0,50.0,16.7,16.7,16.7,16.7,33.3,16.7,8.3,8.3,16.7,16.7,25.0
カナデン,50.0,25.0,25.0,25.0,25.0,33.3,25.0,25.0,25.0,25.0,25.0,33.3,25.0,16.7,16.7,16.7,25.0,16.7,-
カネカ,16.7,8.3,16.7,25.0,16.7,25.0,33.3,75.0,16.7,8.3,8.3,8.3,8.3,25.0,8.3,8.3,8.3,8.3,-
カプコン,8.3,16.7,16.7,16.7,8.3,16.7,8.3,66.7,0.0,0.0,0.0,8.3,33.3,16.7,0.0,0.0,0.0,16.7,0.0
カメイ,8.3,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,8.3,16.7,0.0,0.0,0.0,0.0,-
カワタ,25.0,33.3,33.3,16.7,8.3,16.7,41.7,66.7,16.7,16.7,16.7,8.3,16.7,8.3,8.3,8.3,8.3,16.7,-
カワチ薬品,16.7,16.7,16.7,16.7,16.7,25.0,41.7,83.3,8.3,8.3,8.3,16.7,25.0,58.3,8.3,8.3,0.0,25.0,-
キッセイ薬品工業,41.7,33.3,33.3,41.7,41.7,50.0,41.7,91.7,41.7,41.7,41.7,41.7,33.3,33.3,16.7,16.7,41.7,41.7,-
キトー,33.3,8.3,8.3,8.3,8.3,41.7,66.7,41.7,75.0,75.0,75.0,16.7,66.7,8.3,8.3,16.7,25.0,66.7,-
キムラタン,25.0,8.3,25.0,16.7,33.3,25.0,66.7,75.0,8.3,8.3,8.3,16.7,50.0,25.0,8.3,25.0,16.7,8.3,-
キムラユニティー,16.7,8.3,8.3,8.3,8.3,8.3,8.3,66.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,0.0,8.3,8.3,-
キューブシステム,16.7,0.0,0.0,0.0,8.3,8.3,0.0,50.0,16.7,16.7,16.7,16.7,8.3,0.0,0.0,0.0,0.0,16.7,-
キョーリン製薬ホールディングス,25.0,33.3,25.0,25.0,8.3,41.7,25.0,83.3,16.7,16.7,16.7,25.0,16.7,41.7,8.3,8.3,8.3,33.3,-
キング,16.7,33.3,41.7,33.3,33.3,33.3,33.3,25.0,33.3,33.3,33.3,33.3,25.0,8.3,8.3,8.3,25.0,25.0,-
キーエンス,8.3,33.3,8.3,8.3,8.3,0.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0
キーコーヒー,58.3,41.7,33.3,33.3,25.0,33.3,41.7,58.3,50.0,41.7,41.7,33.3,50.0,41.7,16.7,33.3,16.7,50.0,-
クオールホールディングス,8.3,16.7,8.3,16.7,8.3,58.3,50.0,41.7,16.7,16.7,16.7,8.3,100.0,0.0,8.3,8.3,8.3,41.7,-
クニミネ工業,25.0,0.0,0.0,0.0,0.0,8.3,0.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
クボテック,75.0,66.7,75.0,75.0,66.7,100.0,100.0,91.7,100.0,100.0,100.0,41.7,100.0,66.7,75.0,58.3,91.7,66.7,-
クラボウ,25.0,16.7,16.7,25.0,25.0,41.7,25.0,83.3,25.0,8.3,8.3,16.7,33.3,33.3,41.7,41.7,16.7,16.7,-
クリナップ,66.7,66.7,58.3,66.7,50.0,75.0,58.3,75.0,33.3,33.3,33.3,58.3,50.0,25.0,0.0,0.0,8.3,33.3,-
クレスコ,16.7,8.3,8.3,8.3,8.3,8.3,16.7,58.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.3,8.3,-
クレハ,33.3,16.7,33.3,16.7,25.0,25.0,41.7,83.3,50.0,25.0,25.0,8.3,25.0,33.3,33.3,33.3,8.3,25.0,-
クロスキャット,33.3,25.0,25.0,25.0,0.0,16.7,8.3,25.0,16.7,16.7,16.7,8.3,16.7,8.3,8.3,8.3,16.7,16.7,-
クロップス,16.7,8.3,16.7,16.7,16.7,16.7,16.7,50.0,16.7,8.3,8.3,8.3,8.3,16.7,8.3,8.3,16.7,16.7,-
クワザワホールディングス,58.3,25.0,25.0,58.3,41.7,25.0,66.7,91.7,33.3,33.3,33.3,58.3,66.7,66.7,58.3,58.3,33.3,66.7,-
グランディハウス,25.0,16.7,16.7,66.7,75.0,66.7,66.7,16.7,66.7,66.7,66.7,16.7,100.0,8.3,16.7,16.7,41.7,66.7,-
グリムス,25.0,16.7,16.7,16.7,16.7,16.7,16.7,33.3,8.3,8.3,8.3,25.0,25.0,0.0,8.3,8.3,8.3,16.7,-
グルメ杵屋,50.0,41.7,33.3,66.7,50.0,50.0,50.0,83.3,41.7,58.3,33.3,58.3,41.7,41.7,58.3,33.3,33.3,50.0,-
