企業名,会計年度,四半期,y_hat_mraf_part1,best_hyparam
セーレン,2018,Q1,31.226619999999905,[1000 10]
セーレン,2018,Q2,29.558899999999838,[1000 10]
セーレン,2018,Q3,34.45940000000008,[1000 10]
セーレン,2018,Q4,35.73872000000002,[1000 10]
セーレン,2019,Q1,33.99853000000009,[1000 10]
セーレン,2019,Q2,33.70020000000018,[1000 10]
セーレン,2019,Q3,35.391890000000224,[1000 10]
セーレン,2019,Q4,31.93635000000006,[1000 10]
セーレン,2020,Q1,29.195909999999877,[1000 10]
セーレン,2020,Q2,25.082310000000074,[1000 10]
セーレン,2020,Q3,34.32300000000015,[1000 10]
セーレン,2020,Q4,36.94645000000016,[1000 10]
ゼビオホールディングス,2018,Q1,25.77489999999999,[100 10]
ゼビオホールディングス,2018,Q2,13.91369999999999,[100 10]
ゼビオホールディングス,2018,Q3,31.901900000000005,[100 10]
ゼビオホールディングス,2018,Q4,3.4175,[100 10]
ゼビオホールディングス,2019,Q1,25.706599999999995,[100 10]
ゼビオホールディングス,2019,Q2,8.040199999999993,[100 10]
ゼビオホールディングス,2019,Q3,7.473699999999991,[100 10]
ゼビオホールディングス,2019,Q4,-16.196499999999997,[100 10]
ゼビオホールディングス,2020,Q1,10.360499999999996,[100 10]
ゼビオホールディングス,2020,Q2,23.19269999999999,[100 10]
ゼビオホールディングス,2020,Q3,9.025699999999997,[100 10]
ゼビオホールディングス,2020,Q4,-0.7104000000000003,[100 10]
ゼンショーホールディングス,2018,Q1,10.486819999999968,[500 None]
ゼンショーホールディングス,2018,Q2,12.966279999999946,[500 None]
ゼンショーホールディングス,2018,Q3,17.21977999999999,[500 None]
ゼンショーホールディングス,2018,Q4,2.769880000000012,[500 None]
ゼンショーホールディングス,2019,Q1,13.619419999999927,[500 None]
ゼンショーホールディングス,2019,Q2,19.33532,[500 None]
ゼンショーホールディングス,2019,Q3,26.279980000000155,[500 None]
ゼンショーホールディングス,2019,Q4,15.32487999999994,[500 None]
ゼンショーホールディングス,2020,Q1,10.150479999999956,[500 None]
ゼンショーホールディングス,2020,Q2,22.211740000000027,[500 None]
ゼンショーホールディングス,2020,Q3,20.187480000000036,[500 None]
ゼンショーホールディングス,2020,Q4,13.066779999999948,[500 None]
ゼンリン,2018,Q1,-0.4063881079167997,[1000 10]
ゼンリン,2018,Q2,6.320462278005949,[1000 10]
