,,,,,,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,決算期初日,決算期末日,最新予想フラグ,売上高＜累計＞,営業利益＜累計＞,経常利益＜累計＞,潜在株式調整後１株当たり利益＜累計＞,１株当たり利益＜累計＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜累計＞,当期利益＜累計＞,売上高＜３ヵ月＞,営業利益＜３ヵ月＞,経常利益＜３ヵ月＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜３ヵ月＞,１株当たり利益＜３ヵ月＞,当期利益＜３ヵ月＞
,,,,,,FINHISA'ACC,FINHISA'MACC,FINHISA'HACC,FINHISA'SECFLG,FINHISA'RPFLG,FINHISA'PUBLISHDATE,FINHISA'CE001,FINHISA'CE002,FINHISA'CE066,FINHISA'CE003,FINHISA'CE004,FINHISA'CE005,FINHISA'CE009,FINHISA'CE007,FINHISA'CE006,FINHISA'CE008,FINHISA'CE011,FINHISA'CE012,FINHISA'CE013,FINHISA'CE014,FINHISA'CE015,FINHISA'CE016
,,,,,,年月,ヶ月,2桁コード,1桁コード,1桁コード,年月日,年月日,年月日,1桁コード,百万円,百万円,百万円,円,円,百万円,百万円,百万円,百万円,百万円,百万円,円,百万円
トヨタ自動車,T7203,月次(M),2001/03,#0001,#0001,2001/03,12,10,0,0,2000/05/17,-,-,0,7600000,-,550000,-,-,290000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2001/03,#0002,#0002,2001/03,12,10,0,0,2000/11/15,-,-,1,7800000,-,570000,-,-,300000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2001/09,#0001,#0001,2001/09,6,22,0,0,2001/05/16,-,-,1,3900000,-,310000,-,-,180000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2002/03,#0001,#0001,2002/03,12,10,0,0,2001/05/16,-,-,0,8000000,-,630000,-,-,370000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2002/03,#0002,#0002,2002/03,12,10,0,0,2001/11/08,-,-,1,8200000,-,660000,-,-,380000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2002/09,#0001,#0001,2002/09,6,22,0,0,2002/05/13,-,-,1,4100000,-,400000,-,-,330000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2003/03,#0001,#0001,2003/03,12,10,0,0,2002/05/13,-,-,0,8300000,-,770000,-,-,550000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2003/03,#0002,#0002,2003/03,12,10,0,0,2002/10/30,-,-,1,8600000,-,820000,-,-,590000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2003/09,#0001,#0001,2003/09,6,22,0,0,2003/05/08,-,-,1,4100000,-,330000,-,-,210000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2004/03,#0001,#0001,2004/03,12,10,0,0,2003/05/08,-,-,0,8300000,-,670000,-,-,440000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2004/03,#0002,#0002,2004/03,12,10,0,0,2003/11/05,-,-,0,8700000,-,800000,-,-,510000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2004/03,#0003,#0003,2004/03,12,10,0,0,2004/02/05,-,-,1,8800000,-,880000,-,-,560000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2004/09,#0001,#0001,2004/09,6,22,0,0,2004/05/11,-,-,1,4400000,-,370000,-,-,220000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2005/03,#0001,#0001,2005/03,12,10,0,0,2004/05/11,-,-,0,9000000,-,830000,-,-,520000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2005/03,#0002,#0002,2005/03,12,10,0,0,2004/11/01,-,-,0,9100000,-,890000,-,-,540000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2005/03,#0003,#0003,2005/03,12,10,0,0,2005/02/03,-,-,1,9100000,-,890000,-,-,540000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2005/09,#0001,#0001,2005/09,6,22,0,0,2005/05/10,-,-,0,4500000,-,330000,-,-,220000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2005/09,#0002,#0002,2005/09,6,22,0,0,2005/08/03,-,-,1,4500000,-,330000,-,-,220000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2006/03,#0001,#0001,2006/03,12,10,0,0,2005/05/10,-,-,0,9400000,-,770000,-,-,500000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2006/03,#0002,#0002,2006/03,12,10,0,0,2005/08/03,-,-,0,9400000,-,770000,-,-,500000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2006/03,#0003,#0003,2006/03,12,10,0,0,2005/11/04,-,-,0,10100000,-,980000,-,-,670000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2006/03,#0004,#0004,2006/03,12,10,0,0,2006/02/07,-,-,1,10100000,-,980000,-,-,670000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2006/09,#0001,#0001,2006/09,6,22,0,0,2006/05/10,-,-,0,5200000,-,560000,-,-,380000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2006/09,#0002,#0002,2006/09,6,22,0,0,2006/08/04,-,-,0,5200000,-,560000,-,-,380000,-,-,-,-,-,-,-
