,,0
2018,Q1,89.6906200786226
2018,Q2,76.53945937146553
2018,Q3,92.85973694772218
2018,Q4,69.80896783650579
2019,Q1,117.0664848404938
2019,Q2,111.08960980628328
2019,Q3,109.8486385022411
2019,Q4,93.8058434683647
2020,Q1,136.7864232052827
2020,Q2,94.49464101110814
2020,Q3,120.14842169489927
2020,Q4,103.54471904293472
2018,Q1,35.87246091701563
2018,Q2,34.198107465889265
2018,Q3,46.99255462791327
2018,Q4,34.12754551833236
2019,Q1,43.17757814925045
2019,Q2,20.048470181120457
2019,Q3,36.057816251747155
2019,Q4,17.80532493162214
2020,Q1,6.525605332519166
2020,Q2,18.67874121426061
2020,Q3,46.76749092327927
2020,Q4,30.403701512271482
2018,Q1,7.0492332973818055
2018,Q2,6.255695718257886
2018,Q3,7.766323290478464
2018,Q4,5.681110973633956
2019,Q1,1.1212890790113619
2019,Q2,-0.22164615660456377
2019,Q3,3.130817028801914
2019,Q4,0.7195148496356509
2020,Q1,1.6279647472902852
2020,Q2,5.988396179950104
2020,Q3,7.865134359694435
2020,Q4,7.499896260106732
2018,Q1,104.04312926161407
2018,Q2,150.17516120504354
2018,Q3,114.60145848513801
2018,Q4,39.26134980808689
2019,Q1,141.37794011866782
2019,Q2,129.49247176607574
2019,Q3,36.94197037332887
2019,Q4,98.59476520707506
2020,Q1,82.15532367103708
2020,Q2,75.62030656122278
2020,Q3,54.20777662670518
2020,Q4,33.373177931736784
2018,Q1,7.638638140326954
2018,Q2,27.976467645295283
2018,Q3,34.244993867604876
2018,Q4,69.12953309450171
2019,Q1,14.255265144458935
2019,Q2,31.694995110029023
2019,Q3,43.212606726691654
2019,Q4,68.01063358914574
2020,Q1,14.677135267926555
2020,Q2,34.8246786786717
2020,Q3,41.634892651754555
2020,Q4,66.86007349463796
2018,Q1,5.929042296936913
2018,Q2,-6.18530867184041
2018,Q3,14.44876343588723
2018,Q4,18.738222402432143
2019,Q1,12.482422462049005
2019,Q2,4.0033800468084415
2019,Q3,1.444901830573487
2019,Q4,3.613388511160384
2020,Q1,5.577652045114522
2020,Q2,1.3418403058017017
2020,Q3,6.059250775523938
2020,Q4,6.0267217584343955
2018,Q1,40.657368873638866
2018,Q2,42.59134292449663
2018,Q3,45.41706940840278
2018,Q4,35.5028141341618
2019,Q1,28.095230341216944
2019,Q2,37.28062971578218
2019,Q3,28.738965444714385
2019,Q4,31.652956608811163
2020,Q1,23.734141529400727
2020,Q2,22.62856110807156
2020,Q3,22.838023710608887
2020,Q4,33.38856361811744
2018,Q1,23.448182986228687
2018,Q2,22.763686936799722
2018,Q3,63.269777788204806
2018,Q4,-18.938820671732675
2019,Q1,17.68576566421762
2019,Q2,27.453830000403393
2019,Q3,57.35102241341575
2019,Q4,-14.055823612772722
2020,Q1,24.361550641422415
2020,Q2,29.34697202001434
2020,Q3,85.12018732888369
2020,Q4,-13.528187438207434
2018,Q1,-9.995938078905908
2018,Q2,25.060683612094934
2018,Q3,-3.3520531951458423
2018,Q4,-1.904144265489407
2019,Q1,-21.70647993418899
2019,Q2,21.412090605776925
2019,Q3,-20.327623641408422
2019,Q4,-28.085572679105468
2020,Q1,-18.822617504600288
2020,Q2,10.128226603847253
2020,Q3,0.38421668518978436
2020,Q4,5.071549648994022
2018,Q1,-3.4414768596781613
2018,Q2,-24.61233089599436
2018,Q3,22.36246110546587
2018,Q4,65.79552241119255
2019,Q1,-12.729223027654172
2019,Q2,-28.46247326450255
2019,Q3,2.9665074648041596
2019,Q4,38.979452210689466
2020,Q1,-40.218185419537136
2020,Q2,-71.74445630768008
2020,Q3,-37.347445453031966
2020,Q4,-28.14094231856044
2018,Q1,24.323682263275924
2018,Q2,20.459391262366275
2018,Q3,11.66972528215885
2018,Q4,36.46610747699383
2019,Q1,18.740870924506893
2019,Q2,16.310805999216512
2019,Q3,-6.722879594202766
2019,Q4,16.35186635993213
2020,Q1,-50.62048915854737
2020,Q2,-79.58480711505251
2020,Q3,-29.692685877809176
2020,Q4,-75.33442436086048
2018,Q1,85.62493822673841
2018,Q2,68.50020922719132
2018,Q3,150.5534139139246
2018,Q4,55.412343470253774
2019,Q1,80.68358443808182
2019,Q2,61.09408662917076
2019,Q3,133.3128428189268
2019,Q4,7.218063277950947
2020,Q1,-108.20898633168132
2020,Q2,-28.982935553347005
2020,Q3,34.938123187724926
2020,Q4,-391.7667773051599
2018,Q1,19.287661446280083
2018,Q2,18.303189786161106
2018,Q3,18.25892395778173
2018,Q4,21.09652353342099
2019,Q1,5.144303881578193
2019,Q2,6.61166042422495
2019,Q3,8.585497519023097
2019,Q4,9.635962423505239
2020,Q1,10.392116882935479
2020,Q2,10.825738697457307
2020,Q3,10.829892137735445
2020,Q4,10.613774497661538
2018,Q1,0.5997222222222222
2018,Q2,0.7313888888888889
2018,Q3,0.5477777777777777
2018,Q4,0.6452777777777778
2019,Q1,0.41527777777777775
2019,Q2,0.2905555555555555
2019,Q3,-0.5833333333333331
2019,Q4,-0.49249999999999994
2020,Q1,-0.5677777777777778
2020,Q2,-0.4897222222222221
2020,Q3,-0.9772222222222222
2020,Q4,-0.8527777777777777
2018,Q1,29.747790740348023
2018,Q2,63.60853200428244
2018,Q3,46.611354629823836
2018,Q4,48.76208635840021
2019,Q1,53.98549794131816
2019,Q2,43.791501441344735
2019,Q3,49.922950196545244
2019,Q4,49.90388047600095
2020,Q1,31.61594687584602
2020,Q2,51.67549256557891
2020,Q3,56.79103360505667
2020,Q4,64.02048726074383
2018,Q1,12.895626724530999
2018,Q2,20.341240322426835
