企業名,会計年度,四半期,y_hat_ibes
小野薬品工業,2018,Q1,22.0
小野薬品工業,2018,Q2,25.2
小野薬品工業,2018,Q3,35.1
小野薬品工業,2018,Q4,16.1
小野薬品工業,2019,Q1,30.0
小野薬品工業,2019,Q2,32.5
小野薬品工業,2019,Q3,32.4
小野薬品工業,2019,Q4,19.6
小野薬品工業,2020,Q1,32.4
小野薬品工業,2020,Q2,31.7
小野薬品工業,2020,Q3,33.9
小野薬品工業,2020,Q4,23.7
新光電気工業,2018,Q1,3.0
新光電気工業,2018,Q2,11.5
新光電気工業,2018,Q3,10.0
新光電気工業,2018,Q4,10.0
新光電気工業,2019,Q1,5.2
新光電気工業,2019,Q2,4.4
新光電気工業,2019,Q3,10.4
新光電気工業,2019,Q4,7.0
新光電気工業,2020,Q1,9.7
新光電気工業,2020,Q2,19.4
新光電気工業,2020,Q3,18.6
新光電気工業,2020,Q4,31.0
日本ガイシ,2018,Q1,36.1
日本ガイシ,2018,Q2,37.0
日本ガイシ,2018,Q3,37.6
日本ガイシ,2018,Q4,35.1
日本ガイシ,2019,Q1,36.8
日本ガイシ,2019,Q2,35.2
日本ガイシ,2019,Q3,34.4
日本ガイシ,2019,Q4,36.2
日本ガイシ,2020,Q1,29.8
日本ガイシ,2020,Q2,12.6
日本ガイシ,2020,Q3,29.9
日本ガイシ,2020,Q4,27.8
日本特殊陶業,2018,Q1,59.3
日本特殊陶業,2018,Q2,63.9
日本特殊陶業,2018,Q3,64.9
日本特殊陶業,2018,Q4,55.3
日本特殊陶業,2019,Q1,48.6
日本特殊陶業,2019,Q2,49.1
日本特殊陶業,2019,Q3,52.4
日本特殊陶業,2019,Q4,42.0
日本特殊陶業,2020,Q1,40.4
日本特殊陶業,2020,Q2,15.6
日本特殊陶業,2020,Q3,52.1
日本特殊陶業,2020,Q4,35.0
日本航空電子工業,2018,Q1,31.9
日本航空電子工業,2018,Q2,35.4
日本航空電子工業,2018,Q3,40.7
日本航空電子工業,2018,Q4,27.0
日本航空電子工業,2019,Q1,16.5
日本航空電子工業,2019,Q2,35.1
日本航空電子工業,2019,Q3,39.6
日本航空電子工業,2019,Q4,24.9
日本航空電子工業,2020,Q1,-17.6
日本航空電子工業,2020,Q2,10.2
日本航空電子工業,2020,Q3,23.4
日本航空電子工業,2020,Q4,19.2
日本製鉄,2018,Q1,62.3
日本製鉄,2018,Q2,60.0
日本製鉄,2018,Q3,76.1
日本製鉄,2018,Q4,42.5
日本製鉄,2019,Q1,56.6
日本製鉄,2019,Q2,36.2
日本製鉄,2019,Q3,32.6
日本製鉄,2019,Q4,-84.2
日本製鉄,2020,Q1,-12.9
日本製鉄,2020,Q2,-160.6
日本製鉄,2020,Q3,17.8
日本製鉄,2020,Q4,21.3
日本触媒,2018,Q1,158.0
日本触媒,2018,Q2,112.8
日本触媒,2018,Q3,163.0
日本触媒,2018,Q4,182.4
日本触媒,2019,Q1,158.0
日本触媒,2019,Q2,140.4
日本触媒,2019,Q3,160.5
日本触媒,2019,Q4,164.3
日本触媒,2020,Q1,71.5
日本触媒,2020,Q2,30.1
日本触媒,2020,Q3,12.5
日本触媒,2020,Q4,11.5
日本電産,2018,Q1,63.1
日本電産,2018,Q2,69.2
日本電産,2018,Q3,71.6
日本電産,2018,Q4,22.9
日本電産,2019,Q1,55.6
日本電産,2019,Q2,56.4
日本電産,2019,Q3,70.8
日本電産,2019,Q4,67.4
日本電産,2020,Q1,29.1
日本電産,2020,Q2,32.2
日本電産,2020,Q3,52.1
日本電産,2020,Q4,73.1
日東電工,2018,Q1,90.6
日東電工,2018,Q2,179.8
日東電工,2018,Q3,204.1
日東電工,2018,Q4,94.1
日東電工,2019,Q1,49.6
日東電工,2019,Q2,83.6
日東電工,2019,Q3,111.1
日東電工,2019,Q4,54.6
日東電工,2020,Q1,55.6
日東電工,2020,Q2,94.1
日東電工,2020,Q3,74.8
日東電工,2020,Q4,40.9
日清食品ホールディングス,2018,Q1,64.6
日清食品ホールディングス,2018,Q2,57.2
日清食品ホールディングス,2018,Q3,61.5
日清食品ホールディングス,2018,Q4,21.0
日清食品ホールディングス,2019,Q1,55.2
日清食品ホールディングス,2019,Q2,65.6
日清食品ホールディングス,2019,Q3,84.9
日清食品ホールディングス,2019,Q4,35.4
日清食品ホールディングス,2020,Q1,72.4
日清食品ホールディングス,2020,Q2,82.5
日清食品ホールディングス,2020,Q3,103.9
日清食品ホールディングス,2020,Q4,32.0
日産自動車,2018,Q1,29.3
日産自動車,2018,Q2,34.1
日産自動車,2018,Q3,31.1
日産自動車,2018,Q4,40.0
日産自動車,2019,Q1,25.7
日産自動車,2019,Q2,13.8
日産自動車,2019,Q3,14.7
日産自動車,2019,Q4,-0.2
日産自動車,2020,Q1,-15.3
日産自動車,2020,Q2,-46.0
日産自動車,2020,Q3,-26.9
日産自動車,2020,Q4,-11.8
日立製作所,2018,Q1,73.4
日立製作所,2018,Q2,92.5
日立製作所,2018,Q3,91.3
日立製作所,2018,Q4,130.2
日立製作所,2019,Q1,85.6
日立製作所,2019,Q2,97.4
日立製作所,2019,Q3,104.3
日立製作所,2019,Q4,127.7
日立製作所,2020,Q1,113.3
日立製作所,2020,Q2,67.7
日立製作所,2020,Q3,75.7
日立製作所,2020,Q4,88.8
日立金属,2018,Q1,31.9
日立金属,2018,Q2,21.7
日立金属,2018,Q3,26.2
日立金属,2018,Q4,15.1
日立金属,2019,Q1,18.6
日立金属,2019,Q2,8.2
日立金属,2019,Q3,16.4
日立金属,2019,Q4,-13.3
日立金属,2020,Q1,-19.9
日立金属,2020,Q2,-5.5
日立金属,2020,Q3,-19.2
日立金属,2020,Q4,-23.5
日鉄ソリューションズ,2018,Q1,34.9
日鉄ソリューションズ,2018,Q2,40.0
日鉄ソリューションズ,2018,Q3,38.1
日鉄ソリューションズ,2018,Q4,55.9
日鉄ソリューションズ,2019,Q1,40.7
日鉄ソリューションズ,2019,Q2,45.1
日鉄ソリューションズ,2019,Q3,45.2
日鉄ソリューションズ,2019,Q4,66.1
日鉄ソリューションズ,2020,Q1,43.7
日鉄ソリューションズ,2020,Q2,48.1
日鉄ソリューションズ,2020,Q3,75.4
日鉄ソリューションズ,2020,Q4,11.3
本田技研工業,2018,Q1,129.1
本田技研工業,2018,Q2,96.0
本田技研工業,2018,Q3,101.8
本田技研工業,2018,Q4,59.9
本田技研工業,2019,Q1,123.8
本田技研工業,2019,Q2,102.1
本田技研工業,2019,Q3,81.9
本田技研工業,2019,Q4,60.3
本田技研工業,2020,Q1,47.6
本田技研工業,2020,Q2,53.0
本田技研工業,2020,Q3,60.1
本田技研工業,2020,Q4,61.1
村田製作所,2018,Q1,51.9
村田製作所,2018,Q2,93.7
村田製作所,2018,Q3,101.8
村田製作所,2018,Q4,57.0
村田製作所,2019,Q1,80.4
村田製作所,2019,Q2,84.6
村田製作所,2019,Q3,77.5
村田製作所,2019,Q4,53.1
村田製作所,2020,Q1,39.2
村田製作所,2020,Q2,64.3
村田製作所,2020,Q3,89.3
村田製作所,2020,Q4,58.2
東レ,2018,Q1,16.3
東レ,2018,Q2,15.2
東レ,2018,Q3,19.0
東レ,2018,Q4,11.7
東レ,2019,Q1,16.3
東レ,2019,Q2,11.1
東レ,2019,Q3,14.3
東レ,2019,Q4,2.6
東レ,2020,Q1,1.4
東レ,2020,Q2,6.6
東レ,2020,Q3,8.6
東レ,2020,Q4,1.0
東京エレクトロン,2018,Q1,384.4
東京エレクトロン,2018,Q2,446.7
東京エレクトロン,2018,Q3,304.3
東京エレクトロン,2018,Q4,333.7
東京エレクトロン,2019,Q1,256.5
東京エレクトロン,2019,Q2,254.2
東京エレクトロン,2019,Q3,273.5
東京エレクトロン,2019,Q4,319.9
東京エレクトロン,2020,Q1,278.4
東京エレクトロン,2020,Q2,349.1
東京エレクトロン,2020,Q3,313.2
東京エレクトロン,2020,Q4,470.6
東京製鉄,2018,Q1,26.0
東京製鉄,2018,Q2,22.2
東京製鉄,2018,Q3,21.3
東京製鉄,2018,Q4,30.6
東京製鉄,2019,Q1,26.6
東京製鉄,2019,Q2,19.2
東京製鉄,2019,Q3,32.7
東京製鉄,2019,Q4,22.0
東京製鉄,2020,Q1,16.1
東京製鉄,2020,Q2,8.5
東京製鉄,2020,Q3,11.9
東京製鉄,2020,Q4,-7.8
東芝,2018,Q1,877.0
東芝,2018,Q2,58.0
東芝,2018,Q3,11.3
東芝,2018,Q4,-7.2
東芝,2019,Q1,4.4
東芝,2019,Q2,4.3
東芝,2019,Q3,34.1
東芝,2019,Q4,111.0
東芝,2020,Q1,77.5
東芝,2020,Q2,61.6
東芝,2020,Q3,13.7
東芝,2020,Q4,140.7
横河電機,2018,Q1,13.6
横河電機,2018,Q2,24.7
横河電機,2018,Q3,29.4
横河電機,2018,Q4,38.7
横河電機,2019,Q1,10.4
横河電機,2019,Q2,28.4
横河電機,2019,Q3,25.5
横河電機,2019,Q4,37.9
横河電機,2020,Q1,4.9
横河電機,2020,Q2,19.6
横河電機,2020,Q3,19.6
横河電機,2020,Q4,19.7
神戸製鋼所,2018,Q1,23.5
神戸製鋼所,2018,Q2,24.8
神戸製鋼所,2018,Q3,57.2
神戸製鋼所,2018,Q4,-19.4
神戸製鋼所,2019,Q1,18.1
神戸製鋼所,2019,Q2,-3.2
神戸製鋼所,2019,Q3,8.3
神戸製鋼所,2019,Q4,-59.3
神戸製鋼所,2020,Q1,-22.1
神戸製鋼所,2020,Q2,-20.1
神戸製鋼所,2020,Q3,-8.7
神戸製鋼所,2020,Q4,-6.1
積水化学工業,2018,Q1,16.6
積水化学工業,2018,Q2,52.0
積水化学工業,2018,Q3,30.3
積水化学工業,2018,Q4,52.5
積水化学工業,2019,Q1,16.4
積水化学工業,2019,Q2,53.6
積水化学工業,2019,Q3,25.8
積水化学工業,2019,Q4,56.3
積水化学工業,2020,Q1,16.7
積水化学工業,2020,Q2,30.9
積水化学工業,2020,Q3,31.2
積水化学工業,2020,Q4,50.9
第一三共,2018,Q1,9.7
第一三共,2018,Q2,8.5
第一三共,2018,Q3,12.4
第一三共,2018,Q4,-5.4
第一三共,2019,Q1,9.5
第一三共,2019,Q2,8.7
第一三共,2019,Q3,16.1
第一三共,2019,Q4,-7.6
第一三共,2020,Q1,14.6
第一三共,2020,Q2,5.9
第一三共,2020,Q3,13.6
第一三共,2020,Q4,-9.4
豊田合成,2018,Q1,49.8
豊田合成,2018,Q2,51.3
豊田合成,2018,Q3,52.7
豊田合成,2018,Q4,64.2
豊田合成,2019,Q1,57.3
豊田合成,2019,Q2,38.7
豊田合成,2019,Q3,46.4
豊田合成,2019,Q4,62.2
豊田合成,2020,Q1,37.5
豊田合成,2020,Q2,38.6
豊田合成,2020,Q3,54.1
豊田合成,2020,Q4,38.6
野村不動産ホールディングス,2018,Q1,53.2
野村不動産ホールディングス,2018,Q2,68.2
野村不動産ホールディングス,2018,Q3,65.9
野村不動産ホールディングス,2018,Q4,118.2
野村不動産ホールディングス,2019,Q1,57.5
野村不動産ホールディングス,2019,Q2,48.7
野村不動産ホールディングス,2019,Q3,56.8
野村不動産ホールディングス,2019,Q4,138.1
野村不動産ホールディングス,2020,Q1,20.8
野村不動産ホールディングス,2020,Q2,33.9
野村不動産ホールディングス,2020,Q3,47.3
野村不動産ホールディングス,2020,Q4,94.4
野村総合研究所,2018,Q1,14.4
野村総合研究所,2018,Q2,17.3
野村総合研究所,2018,Q3,17.8
野村総合研究所,2018,Q4,21.3
野村総合研究所,2019,Q1,16.7
野村総合研究所,2019,Q2,19.9
野村総合研究所,2019,Q3,23.1
野村総合研究所,2019,Q4,26.5
野村総合研究所,2020,Q1,21.9
野村総合研究所,2020,Q2,23.5
野村総合研究所,2020,Q3,26.0
野村総合研究所,2020,Q4,32.0
関西ペイント,2018,Q1,27.2
関西ペイント,2018,Q2,27.2
関西ペイント,2018,Q3,29.1
関西ペイント,2018,Q4,17.2
関西ペイント,2019,Q1,26.9
関西ペイント,2019,Q2,24.9
関西ペイント,2019,Q3,29.2
関西ペイント,2019,Q4,24.4
関西ペイント,2020,Q1,11.8
関西ペイント,2020,Q2,20.0
関西ペイント,2020,Q3,8.3
関西ペイント,2020,Q4,41.1
ＪＦＥホールディングス,2018,Q1,66.3
ＪＦＥホールディングス,2018,Q2,72.0
ＪＦＥホールディングス,2018,Q3,83.0
ＪＦＥホールディングス,2018,Q4,64.4
ＪＦＥホールディングス,2019,Q1,61.7
ＪＦＥホールディングス,2019,Q2,59.1
ＪＦＥホールディングス,2019,Q3,21.9
ＪＦＥホールディングス,2019,Q4,-19.0
ＪＦＥホールディングス,2020,Q1,-7.5
ＪＦＥホールディングス,2020,Q2,-125.6
ＪＦＥホールディングス,2020,Q3,2.8
ＪＦＥホールディングス,2020,Q4,96.3
ＪＳＲ,2018,Q1,30.8
ＪＳＲ,2018,Q2,39.2
ＪＳＲ,2018,Q3,41.3
ＪＳＲ,2018,Q4,24.3
ＪＳＲ,2019,Q1,30.4
ＪＳＲ,2019,Q2,32.1
ＪＳＲ,2019,Q3,34.4
ＪＳＲ,2019,Q4,23.6
ＪＳＲ,2020,Q1,15.3
ＪＳＲ,2020,Q2,18.8
ＪＳＲ,2020,Q3,22.5
ＪＳＲ,2020,Q4,16.8
ＳＣＲＥＥＮホールディングス,2018,Q1,161.0
ＳＣＲＥＥＮホールディングス,2018,Q2,227.1
ＳＣＲＥＥＮホールディングス,2018,Q3,155.9
ＳＣＲＥＥＮホールディングス,2018,Q4,233.2
ＳＣＲＥＥＮホールディングス,2019,Q1,56.0
ＳＣＲＥＥＮホールディングス,2019,Q2,104.7
ＳＣＲＥＥＮホールディングス,2019,Q3,122.4
ＳＣＲＥＥＮホールディングス,2019,Q4,118.2
ＳＣＲＥＥＮホールディングス,2020,Q1,33.5
ＳＣＲＥＥＮホールディングス,2020,Q2,37.1
ＳＣＲＥＥＮホールディングス,2020,Q3,66.7
ＳＣＲＥＥＮホールディングス,2020,Q4,117.9
ＳＭＣ,2018,Q1,554.5
ＳＭＣ,2018,Q2,490.3
ＳＭＣ,2018,Q3,548.1
ＳＭＣ,2018,Q4,478.4
ＳＭＣ,2019,Q1,500.0
ＳＭＣ,2019,Q2,382.2
ＳＭＣ,2019,Q3,445.2
ＳＭＣ,2019,Q4,397.3
ＳＭＣ,2020,Q1,305.9
ＳＭＣ,2020,Q2,338.1
ＳＭＣ,2020,Q3,420.6
ＳＭＣ,2020,Q4,502.8
ＳＵＢＡＲＵ,2018,Q1,69.6
ＳＵＢＡＲＵ,2018,Q2,83.1
ＳＵＢＡＲＵ,2018,Q3,103.6
ＳＵＢＡＲＵ,2018,Q4,65.8
ＳＵＢＡＲＵ,2019,Q1,76.4
ＳＵＢＡＲＵ,2019,Q2,73.3
ＳＵＢＡＲＵ,2019,Q3,75.1
ＳＵＢＡＲＵ,2019,Q4,83.4
ＳＵＢＡＲＵ,2020,Q1,64.2
ＳＵＢＡＲＵ,2020,Q2,49.0
ＳＵＢＡＲＵ,2020,Q3,46.4
ＳＵＢＡＲＵ,2020,Q4,36.7
ＴＤＫ,2018,Q1,35.967
ＴＤＫ,2018,Q2,68.467
ＴＤＫ,2018,Q3,77.033
ＴＤＫ,2018,Q4,32.5
ＴＤＫ,2019,Q1,33.167
ＴＤＫ,2019,Q2,67.567
ＴＤＫ,2019,Q3,71.4
ＴＤＫ,2019,Q4,30.4
ＴＤＫ,2020,Q1,-42.1
ＴＤＫ,2020,Q2,58.133
ＴＤＫ,2020,Q3,73.267
ＴＤＫ,2020,Q4,29.767
ＴＯＷＡ,2018,Q1,31.4
ＴＯＷＡ,2018,Q2,38.8
ＴＯＷＡ,2018,Q3,37.7
ＴＯＷＡ,2018,Q4,28.0
ＴＯＷＡ,2019,Q1,20.3
ＴＯＷＡ,2019,Q2,2.2
ＴＯＷＡ,2019,Q3,3.2
ＴＯＷＡ,2019,Q4,12.9
ＴＯＷＡ,2020,Q1,18.3
ＴＯＷＡ,2020,Q2,17.0
ＴＯＷＡ,2020,Q3,22.5
ＴＯＷＡ,2020,Q4,27.0
