企業名,会計年度,四半期,y_hat_ibes
エーザイ,2019,Q4,118.1
エーザイ,2020,Q1,41.5
エーザイ,2020,Q2,33.7
エーザイ,2020,Q3,49.7
エーザイ,2020,Q4,38.4
オリンパス,2018,Q1,7.3
オリンパス,2018,Q2,15.1
オリンパス,2018,Q3,11.5
オリンパス,2018,Q4,13.7
オリンパス,2019,Q1,9.7
オリンパス,2019,Q2,12.2
オリンパス,2019,Q3,12.3
オリンパス,2019,Q4,8.3
オリンパス,2020,Q1,4.8
オリンパス,2020,Q2,7.4
オリンパス,2020,Q3,8.7
オリンパス,2020,Q4,4.2
カシオ計算機,2018,Q1,23.1
カシオ計算機,2018,Q2,26.9
カシオ計算機,2018,Q3,27.1
カシオ計算機,2018,Q4,30.1
カシオ計算機,2019,Q1,21.7
カシオ計算機,2019,Q2,24.2
カシオ計算機,2019,Q3,24.5
カシオ計算機,2019,Q4,25.9
カシオ計算機,2020,Q1,7.7
カシオ計算機,2020,Q2,19.3
カシオ計算機,2020,Q3,17.2
カシオ計算機,2020,Q4,22.0
カプコン,2018,Q1,9.0
カプコン,2018,Q2,12.7
カプコン,2018,Q3,6.1
カプコン,2018,Q4,21.8
カプコン,2019,Q1,11.9
カプコン,2019,Q2,7.7
カプコン,2019,Q3,15.3
カプコン,2019,Q4,18.8
カプコン,2020,Q1,25.5
カプコン,2020,Q2,20.4
カプコン,2020,Q3,22.8
カプコン,2020,Q4,18.8
キッコーマン,2018,Q1,35.8
キッコーマン,2018,Q2,35.7
キッコーマン,2018,Q3,39.4
キッコーマン,2018,Q4,26.3
キッコーマン,2019,Q1,38.5
キッコーマン,2019,Q2,38.4
キッコーマン,2019,Q3,39.2
キッコーマン,2019,Q4,23.0
キッコーマン,2020,Q1,33.9
キッコーマン,2020,Q2,37.6
キッコーマン,2020,Q3,41.2
キッコーマン,2020,Q4,18.9
キーエンス,2018,Q1,226.5
キーエンス,2018,Q2,265.7
キーエンス,2018,Q3,235.1
キーエンス,2018,Q4,270.8
キーエンス,2019,Q1,249.5
キーエンス,2019,Q2,226.8
キーエンス,2019,Q3,220.9
キーエンス,2019,Q4,220.8
キーエンス,2020,Q1,173.3
キーエンス,2020,Q2,296.0
キーエンス,2020,Q3,209.9
キーエンス,2020,Q4,261.7
ケーズホールディングス,2018,Q1,20.9
ケーズホールディングス,2018,Q2,33.1
ケーズホールディングス,2018,Q3,33.5
ケーズホールディングス,2018,Q4,13.2
ケーズホールディングス,2019,Q1,25.7
ケーズホールディングス,2019,Q2,56.8
ケーズホールディングス,2019,Q3,18.9
ケーズホールディングス,2019,Q4,17.0
ケーズホールディングス,2020,Q1,25.8
ケーズホールディングス,2020,Q2,15.6
ケーズホールディングス,2020,Q3,-15.5
ケーズホールディングス,2020,Q4,-5.1
コマツ,2018,Q1,68.9
コマツ,2018,Q2,64.8
コマツ,2018,Q3,69.4
コマツ,2018,Q4,74.3
コマツ,2019,Q1,51.3
コマツ,2019,Q2,55.0
コマツ,2019,Q3,50.7
コマツ,2019,Q4,46.6
コマツ,2020,Q1,38.2
コマツ,2020,Q2,20.1
コマツ,2020,Q3,24.2
コマツ,2020,Q4,31.7
シスメックス,2018,Q1,32.0
シスメックス,2018,Q2,42.3
シスメックス,2018,Q3,55.9
シスメックス,2018,Q4,52.5
シスメックス,2019,Q1,43.1
シスメックス,2019,Q2,43.7
シスメックス,2019,Q3,51.7
シスメックス,2019,Q4,55.9
シスメックス,2020,Q1,27.4
シスメックス,2020,Q2,42.5
シスメックス,2020,Q3,48.0
シスメックス,2020,Q4,54.7
シャープ,2018,Q1,24.8
シャープ,2018,Q2,35.0
シャープ,2018,Q3,32.1
シャープ,2018,Q4,25.6
シャープ,2019,Q1,22.4
シャープ,2019,Q2,21.0
シャープ,2019,Q3,19.9
シャープ,2019,Q4,8.6
シャープ,2020,Q1,11.0
シャープ,2020,Q2,21.7
シャープ,2020,Q3,32.1
シャープ,2020,Q4,32.1
スクウェア・エニックス・ホール,2018,Q1,49.0
スクウェア・エニックス・ホール,2018,Q2,83.7
スクウェア・エニックス・ホール,2018,Q3,60.0
スクウェア・エニックス・ホール,2018,Q4,61.6
スクウェア・エニックス・ホール,2019,Q1,29.3
スクウェア・エニックス・ホール,2019,Q2,48.0
スクウェア・エニックス・ホール,2019,Q3,57.5
スクウェア・エニックス・ホール,2019,Q4,44.0
スクウェア・エニックス・ホール,2020,Q1,75.1
スクウェア・エニックス・ホール,2020,Q2,75.3
スクウェア・エニックス・ホール,2020,Q3,70.6
スクウェア・エニックス・ホール,2020,Q4,42.1
スズキ,2018,Q1,129.8
スズキ,2018,Q2,117.1
スズキ,2018,Q3,130.0
スズキ,2018,Q4,128.4
スズキ,2019,Q1,126.7
スズキ,2019,Q2,113.1
スズキ,2019,Q3,77.9
スズキ,2019,Q4,73.8
スズキ,2020,Q1,32.0
スズキ,2020,Q2,34.5
スズキ,2020,Q3,67.9
スズキ,2020,Q4,66.9
セイコーエプソン,2018,Q1,26.6
セイコーエプソン,2018,Q2,38.6
セイコーエプソン,2018,Q3,71.0
セイコーエプソン,2018,Q4,35.4
セイコーエプソン,2019,Q1,21.6
セイコーエプソン,2019,Q2,18.5
セイコーエプソン,2019,Q3,46.7
セイコーエプソン,2019,Q4,13.7
セイコーエプソン,2020,Q1,6.0
セイコーエプソン,2020,Q2,1.3
セイコーエプソン,2020,Q3,26.1
セイコーエプソン,2020,Q4,-3.8
ソニーグループ,2018,Q1,86.7
ソニーグループ,2018,Q2,92.3
ソニーグループ,2018,Q3,173.8
ソニーグループ,2018,Q4,45.5
ソニーグループ,2019,Q1,89.8
ソニーグループ,2019,Q2,123.2
ソニーグループ,2019,Q3,135.4
ソニーグループ,2019,Q4,49.2
ソニーグループ,2020,Q1,62.8
ソニーグループ,2020,Q2,106.6
ソニーグループ,2020,Q3,99.8
ソニーグループ,2020,Q4,-17.8
ダイキン工業,2018,Q1,180.2
ダイキン工業,2018,Q2,200.4
ダイキン工業,2018,Q3,131.0
ダイキン工業,2018,Q4,135.8
ダイキン工業,2019,Q1,209.5
ダイキン工業,2019,Q2,196.6
ダイキン工業,2019,Q3,141.1
ダイキン工業,2019,Q4,168.2
ダイキン工業,2020,Q1,225.7
ダイキン工業,2020,Q2,123.5
ダイキン工業,2020,Q3,115.1
ダイキン工業,2020,Q4,147.6
ダイセル,2018,Q1,28.9
ダイセル,2018,Q2,26.9
ダイセル,2018,Q3,29.5
ダイセル,2018,Q4,25.8
ダイセル,2019,Q1,21.8
ダイセル,2019,Q2,20.9
ダイセル,2019,Q3,22.0
ダイセル,2019,Q4,12.0
ダイセル,2020,Q1,2.8
ダイセル,2020,Q2,7.2
ダイセル,2020,Q3,8.5
ダイセル,2020,Q4,12.0
ダイフク,2018,Q1,69.6
ダイフク,2018,Q2,74.0
ダイフク,2018,Q3,72.9
ダイフク,2018,Q4,54.1
ダイフク,2019,Q1,49.8
ダイフク,2019,Q2,61.2
ダイフク,2019,Q3,66.7
ダイフク,2019,Q4,68.2
ダイフク,2020,Q1,72.2
ダイフク,2020,Q2,59.9
ダイフク,2020,Q3,61.0
ダイフク,2020,Q4,74.2
テルモ,2018,Q1,22.3
テルモ,2018,Q2,30.1
テルモ,2018,Q3,28.3
テルモ,2018,Q4,30.5
テルモ,2019,Q1,30.0
テルモ,2019,Q2,24.5
テルモ,2019,Q3,29.4
テルモ,2019,Q4,20.8
テルモ,2020,Q1,19.6
テルモ,2020,Q2,21.4
テルモ,2020,Q3,28.0
テルモ,2020,Q4,19.7
ディスコ,2018,Q1,222.7
ディスコ,2018,Q2,254.6
ディスコ,2018,Q3,229.9
ディスコ,2018,Q4,218.9
ディスコ,2019,Q1,165.9
ディスコ,2019,Q2,174.9
ディスコ,2019,Q3,153.4
ディスコ,2019,Q4,196.0
ディスコ,2020,Q1,232.1
ディスコ,2020,Q2,264.1
ディスコ,2020,Q3,219.0
ディスコ,2020,Q4,283.2
デンソー,2018,Q1,100.4
デンソー,2018,Q2,88.1
デンソー,2018,Q3,115.3
デンソー,2018,Q4,118.5
デンソー,2019,Q1,100.5
デンソー,2019,Q2,87.8
デンソー,2019,Q3,101.1
デンソー,2019,Q4,107.8
デンソー,2020,Q1,3.8
デンソー,2020,Q2,14.7
デンソー,2020,Q3,85.8
デンソー,2020,Q4,114.5
トヨタ紡織,2018,Q1,63.4
トヨタ紡織,2018,Q2,58.1
トヨタ紡織,2018,Q3,60.5
トヨタ紡織,2018,Q4,77.2
トヨタ紡織,2019,Q1,49.9
トヨタ紡織,2019,Q2,41.5
トヨタ紡織,2019,Q3,41.2
トヨタ紡織,2019,Q4,49.3
トヨタ紡織,2020,Q1,5.0
トヨタ紡織,2020,Q2,17.5
トヨタ紡織,2020,Q3,44.4
