企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
アーレスティ,愛知県豊橋市三弥町中原１－２,23201,東京都中野区本町２－４６－１　中野坂上サンブライトツイン,13114,1943/11/02,1943/11/02,日本ダイカスト協会,日本アルミニウム協会,日本マグネシウム協会,東京商工会議所
イエローハット,東京都千代田区岩本町１－７－４,13101,東京都千代田区岩本町１－７－４　イエローハット本社ビル,13101,1962/03/15,1949/06/30,自動車用品小売業協会,全国自動車用品工業会,ＮＡＰＡＣ,東京商工会議所
イソライト工業,大阪市北区中之島３－３－２３,27127,大阪市北区中之島３－３－２３　中之島ダイビル,27127,1927/12/05,1927/12/05,耐火物協会,日本セラミックス協会,大阪科学技術センター,大阪商工会議所
イチカワ,東京都文京区本郷２－１４－１５,13105,東京都文京区本郷２－１４－１５,13105,1949/11/21,1949/11/21,日本羊毛産業協会,紙パルプ倶楽部,日本製紙連合会,東京商工会議所
イチケン,東京都港区芝浦１－１－１,13103,東京都港区芝浦１－１－１　浜松町ビルディング,13103,1930/06/15,1930/06/15,大阪建設業協会,東京建設業協会,福岡県建設業協会,東京商工会議所
イチネンホールディングス,大阪市淀川区西中島４－１０－６,27123,大阪市中央区久太郎町１－６－２９　フォーキャスト堺筋本町,27128,1963/05/07,1963/05/07,-,-,-,-
イノテック,横浜市港北区新横浜３－１７－６,14109,横浜市港北区新横浜３－１７－６,14109,1987/01/05,1976/06/22,-,-,-,-
イビデン,岐阜県大垣市神田町２－１,21202,岐阜県大垣市神田町２－１,21202,1912/11/25,1912/11/25,日本電子回路工業会,日本ファインセラミックス協会,炭素協会,大垣商工会議所
イフジ産業,福岡県糟屋郡粕屋町戸原東２－１－２９,40349,福岡県糟屋郡粕屋町戸原東２－１－２９,40349,1972/10/03,1972/10/03,日本卵業協会,-,-,福岡商工会議所
イリソ電子工業,横浜市港北区新横浜２－１３－８,14109,横浜市港北区新横浜２－１３－８,14109,1966/12/16,1966/12/16,電子情報技術産業協会,-,-,横浜商工会議所
インターネットイニシアティブ,東京都千代田区富士見２－１０－２,13101,東京都千代田区富士見２－１０－２　飯田橋グラン・ブルーム,13101,1992/12/03,1992/12/03,テレコムサービス協会,安心ネットづくり促進協議会,ＩＳＯＣ,-
インフォコム,東京都渋谷区神宮前２－３４－１７,13113,東京都渋谷区神宮前２－３４－１７,13113,1983/02/12,1983/02/12,-,-,-,-
インプレスホールディングス,東京都千代田区神田神保町１－１０５,13101,東京都千代田区神田神保町１－１０５　神保町三井ビルディング,13101,1992/04/01,1992/04/01,デジタルメディア協会,日本雑誌協会,日本書籍出版協会,-
イーグル工業,東京都港区芝大門１－１２－１５,13103,東京都港区芝公園２－４－１　芝パークビル,13103,1964/10/01,1948/04/02,日本産業機械工業会,日本舶用工業会,日本航空宇宙工業会,東京商工会議所
ウシオ電機,東京都千代田区丸の内１－６－５,13101,東京都千代田区丸の内１－６－５　丸の内北口ビルディング,13101,1964/03/23,1949/03/26,日本照明工業会,日本半導体製造装置協会,日本オプトメカトロニクス協会,東京商工会議所
ウッドワン,広島県廿日市市木材港南１－１,34213,広島県廿日市市木材港南１－１,34213,1952/04/02,1950/08/08,日本複合床板工業会,キッチン・バス工業会,-,廿日市商工会議所
エア・ウォーター,大阪市中央区南船場２－１２－８,27128,大阪市中央区南船場２－１２－８　エア・ウォータービル,27128,1929/09/24,1929/09/24,日本産業・医療ガス協会,全国ＬＰガス協会,日本医療機器工業会,大阪商工会議所
エイチワン,さいたま市大宮区桜木町１－１１－５　ＫＳビル,11103,さいたま市大宮区桜木町１－１１－５　ＫＳビル,11103,1939/04/23,1939/04/23,日本金属プレス工業会,東京都金属プレス工業会,-,埼玉商工会議所
エイチ・ツー・オー　リテイリン,大阪市北区角田町８－７,27127,大阪市北区角田町８－７,27127,1947/03/07,1947/03/07,-,-,-,大阪商工会議所
エイベックス,東京都港区南青山３－１－３０,13103,東京都港区南青山３－１－３０,13103,1988/04/11,1973/06/01,日本レコード協会,日本音楽著作権協会,日本映像ソフト協会,-
エクセディ,大阪府寝屋川市木田元宮１－１－１,27215,大阪府寝屋川市木田元宮１－１－１,27215,1950/07/01,1950/07/01,日本自動車部品工業会,-,-,北大阪商工会議所
エステー,東京都新宿区下落合１－４－１０,13104,東京都新宿区下落合１－４－１０,13104,1948/08/31,1948/08/31,芳香消臭脱臭剤協議会,日本繊維製品防虫剤工業会,日本グローブ工業会,東京商工会議所
エステールホールディングス,東京都港区虎ノ門４－３－１３,13103,東京都港区虎ノ門４－３－１３　ヒューリック神谷町ビル,13103,1959/03/12,1946/09/04,日本真珠輸出加工協同組合,日本ジュエリー協会,-,東京商工会議所
エスペック,大阪市北区天神橋３－５－６,27127,大阪市北区天神橋３－５－６,27127,1954/01/13,1954/01/13,日本試験機工業会,関西ニュービジネス協議会,大阪科学機器協会,大阪商工会議所
エスライン,岐阜県羽島郡岐南町平成４－６８,21302,岐阜県羽島郡岐南町平成４－６８,21302,1947/03/10,1947/03/10,全日本トラック協会,岐阜県トラック協会,-,岐阜商工会議所
エスリード,大阪市福島区福島６－２５－１９,27103,大阪市福島区福島６－２５－１９　エスリードビル福島,27103,1992/05/08,1968/10/24,全国宅地建物取引業協会,大阪府宅地建物取引業協会,不動産協会,-
エス・エム・エス,東京都港区芝公園２－１１－１,13103,東京都港区芝公園２－１１－１　住友不動産芝公園タワー,13103,2003/04/04,2003/04/04,広告業共同組合（ＡＣＡ）,-,-,-
エディオン,広島市中区紙屋町２－１－１８,34101,大阪市北区中之島２－３－３３　大阪三井物産ビル,27127,2002/03/29,2002/03/29,-,-,-,大阪商工会議所
エヌ・ティ・ティ・データ,東京都江東区豊洲３－３－３　豊洲センタービル,13108,東京都江東区豊洲３－３－３　豊洲センタービル,13108,1988/05/23,1988/05/23,情報サービス産業協会,-,-,東京商工会議所
エノモト,山梨県上野原市上野原８１５４－１９,19212,山梨県上野原市上野原８１５４－１９,19212,1967/04/27,1967/04/27,日本電子デバイス産業協会,-,-,-
エバラ食品工業,横浜市西区みなとみらい４－４－５,14103,横浜市西区みなとみらい４－４－５　横浜アイマークプレイス,14103,1958/05/09,1967/07/26,-,-,-,横浜商工会議所
エフテック,埼玉県久喜市菖蒲町昭和沼１９,11232,埼玉県久喜市菖蒲町昭和沼１９,11232,1964/05/06,1964/05/06,日本自動車部品工業会,-,-,久喜市商工会議所
エフピコ,広島県福山市曙町１－１３－１５,34207,広島県福山市曙町１－１３－１５,34207,1962/07/24,1962/07/24,日本プラスチック食品容器工業会,ポリオレフィン等衛生協議会,ＰＥＴトレイ協議会,福山商工会議所
エフ・シー・シー,浜松市北区細江町中川７０００－３６,22135,浜松市北区細江町中川７０００－３６,22135,1939/06/15,1939/06/15,日本自動車部品工業会,-,-,浜松商工会議所
エムスリー,東京都港区赤坂１－１１－４４　赤坂インターシティ,13103,東京都港区赤坂１－１１－４４　赤坂インターシティ,13103,2000/09/29,2000/09/29,-,-,-,東京商工会議所
エレコム,大阪市中央区伏見町４－１－１,27128,大阪市中央区伏見町４－１－１,27128,1986/05/28,1948/06/03,-,-,-,-
エレマテック,東京都港区三田３－５－２７,13103,東京都港区三田３－５－２７　住友不動産三田ツインビル西館,13103,1947/04/28,1947/04/28,-,-,-,東京商工会議所
エンシュウ,浜松市南区高塚町４８８８,22134,浜松市南区高塚町４８８８,22134,1920/02/05,1920/02/05,日本工作機械工業会,-,-,浜松商工会議所
エンプラス,埼玉県川口市並木２－３０－１,11203,埼玉県川口市並木２－３０－１,11203,1962/02/21,1928/12/01,日本金型工業会,東日本プラスチック製品工業協会,日本合成樹脂技術協会,川口商工会議所
エーアンドエーマテリアル,横浜市鶴見区鶴見中央２－５－５,14101,横浜市鶴見区鶴見中央２－５－５,14101,1924/03/10,1924/03/10,ＪＡＴＩ協会,せんい強化セメント板協会,ロックウール工業会,東京商工会議所
エーザイ,東京都文京区小石川４－６－１０,13105,東京都文京区小石川４－６－１０,13105,1941/12/06,1941/12/06,日本製薬団体連合会,日本製薬工業協会,日本大衆薬工業協会,東京商工会議所
エー・アンド・デイ,東京都豊島区東池袋３－２３－１４,13116,埼玉県北本市朝日１－２４３,11233,1977/05/06,1977/05/06,日本計量機器工業連合会,日本電気計測器工業会,日本はかり工業会,東京商工会議所
