企業名,日経業種コード,日経業種名（漢字）,日経業種名（英文）,日経業種大分類,日経業種中分類,日経業種小分類,東証業種コード,東証業種名（漢字）,東証業種名（英文）,日本標準産業分類（１）,日本標準産業分類（２）,日本標準産業分類（３）
あらた,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005523,000005532,000005524
いすゞ自動車,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
いなげや,245442,スーパー,Supermarket Chains,2,45,442,6100,小売業,Retail Trade,000005611,000000000,000000000
かどや製油,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000981,000000000,000000000
きんでん,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000811,000000000,000000000
さくらインターネット,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004011,000000000,000000000
たけびし,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
なとり,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000929,000000999,000000000
はせがわ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006011,000000000,000000000
はるやまホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005721,000000000,000000000
ぴあ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008096,000004141,000000000
やまや,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005222,000005851,000000000
りらいあコミュニケーションズ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000003921,000003922,000000000
わかもと製薬,109083,大衆向医薬品,Proprietary Drugs,1,09,083,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
アイカ工業,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001825,000000000,000000000
アイコム,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003013,000002899,000000000
アイシン,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000002635,000000000
アイダエンジニアリング,121202,プレス機械,Press Machines,1,21,202,3600,機械,Machinery,000002661,000002662,000002694
アイチコーポレーション,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002621,000003111,000000000
アイティフォー,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003921,000007499
アイティメディア,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000004011,000000000,000000000
アイネス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003921,000000000,000000000
アイネット,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003921,000003911,000000000
アイホン,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003011,000000000,000000000
アイロムグループ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009299,000008369,000000000
アキレス,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001921,000001833,000000000
アクシアル　リテイリング,245442,スーパー,Supermarket Chains,2,45,442,6100,小売業,Retail Trade,000005811,000000000,000000000
アクセル,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002814,000000000,000000000
アジアパイルホールディングス,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000000723,000002123,000000000
アステラス製薬,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
アズビル,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002972,000000000,000000000
アズワン,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005493,000005522,000005599
アツギ,103025,繊維二次加工,Finished Textile Goods,1,03,025,3100,繊維製品,Textile & Apparels,000001159,000000000,000000000
アドウェイズ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000004011,000000000,000000000
アドソル日進,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000000000,000000000
アドバネクス,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002492,000000000,000000000
アドバンテスト,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002971,000000000,000000000
アドヴァングループ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006094,000005319,000006911
アネスト岩田,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002522,000000000,000000000
アマダ,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002662,000002661,000000000
アマノ,121209,事務機,Office Machines,1,21,209,3600,機械,Machinery,000002999,000002939,000003033
アミューズ,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008023,000004111,000004114
アリアケジャパン,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000942,000000943,000000949
アルインコ,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002499,000006022,000007019
アルコニックス,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005352,000000000,000000000
アルゴグラフィックス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000005432,000003911,000000000
アルビス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005215,000005219,000005229
アルファ,127262,自動車部品,Auto Parts & Accessories,1,27,262,3550,金属製品,Metal Products,000003113,000002429,000000000
アルファシステムズ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
アルフレッサ　ホールディングス,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005521,000001652,000000000
アルプスアルパイン,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002915,000003014,000002899
アルプス物流,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004711,000000000
アンリツ,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002971,000003011,000003013
アートネイチャー,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003229,000006099,000000000
アーレスティ,119183,アルミ（含ダイカスト）,Aluminum,1,19,183,3500,非鉄金属,Nonferrous Metals,000002354,000002322,000002353
イエローハット,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005422,000005913,000000000
イソライト工業,115145,耐火煉瓦,Bricks,1,15,145,3400,ガラス・土石製品,Glass & Ceramics Products,000002151,000002159,000000000
イチカワ,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001157,000000000,000000000
イチケン,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000611,000000000,000000000
イチネンホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007041,000005331,000000000
イノテック,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000005492,000000000
イビデン,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002814,000001629,000000000
イフジ産業,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000000919,000000000,000000000
イリソ電子工業,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000000000,000000000
インターネットイニシアティブ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004011,000000000,000000000
インフォコム,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
インプレスホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004141,000000000,000000000
イーグル工業,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002599,000002499,000002592
ウシオ電機,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002941,000002942,000000000
ウッドワン,133323,建材,Lumber & Wood Products,1,33,323,3800,その他製品,Other Products,000001222,000000000,000000000
エア・ウォーター,107066,酸素,Oxygen,1,07,066,3200,化学,Chemicals,000001623,000000000,000000000
エイチワン,127262,自動車部品,Auto Parts & Accessories,1,27,262,3550,金属製品,Metal Products,000003113,000003149,000000000
エイチ・ツー・オー　リテイリン,245441,百貨店,Department Stores,2,45,441,6100,小売業,Retail Trade,000005611,000000000,000000000
エイベックス,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003296,000004121,000004012
エクセディ,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000002621,000000000
エステー,107070,農薬・殺虫剤,Agricultural Chemicals,1,07,070,3200,化学,Chemicals,000001699,000000000,000000000
エステールホールディングス,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003211,000000000,000000000
エスペック,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002971,000002972,000002739
エスライン,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004431,000000000
エスリード,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006821,000000000
エス・エム・エス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009111,000000000,000000000
エディオン,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005931,000000000,000000000
エヌ・ティ・ティ・データ,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003731,000000000,000000000
エノモト,123225,電子部品,Electronic Components,1,23,225,3650,電気機器,Electric Appliances,000002899,000000000,000000000
エバラ食品工業,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000949,000000000,000000000
エフテック,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
エフピコ,133325,その他製造業,"Manufacturing, NEC",1,33,325,3200,化学,Chemicals,000001891,000000000,000000000
エフ・シー・シー,127262,自動車部品,Auto Parts & Accessories,1,27,262,3700,輸送用機器,Transport Equipment,000003113,000000000,000000000
エムスリー,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000004011,000000000,000000000
エレコム,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000003039,000000000,000000000
エレマテック,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
エンシュウ,121203,繊維機械,Textile Machines,1,21,203,3600,機械,Machinery,000003113,000002661,000000000
エンプラス,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000003023,000000000,000000000
