,EPS,INV,AR,CAPX,GM,SA,ETR,LF
count,56628.0,56628.0,56628.0,56628.0,56628.0,56628.0,56628.0,56628.0
mean,67.21940855671185,781.733069634334,1273.860397097493,173.23023140404496,508.6588118119666,381.61404183432995,0.3462424125487916,16.185538861297626
std,690.5241302085237,6963.552335304912,7971.92399946835,2312.546288737796,3497.303476139433,2636.8753507016863,6.876806275745458,0.7893161268550642
min,-37300.5,-1248.2803146599038,-8093.573905504984,-3424.537248428225,-30368.48217921839,-1970.9037711313397,-494.7160493827161,11.628080378220345
25%,3.26,90.11508923737371,177.83961366469373,9.38170660998674,52.72507999746469,39.48583499753967,0.23561133663369097,15.645807370039304
50%,14.88,193.6176308620952,355.4973964621752,25.09039826964719,115.00041139443316,83.11591978198837,0.33,16.13553179395072
75%,37.12,410.6848776059421,713.6595568193899,65.73654208278553,220.32418395840062,164.60238814415902,0.4145762463811962,16.670491286171636
max,31202.83,404482.4622656712,293004.8963568517,143224.38980053872,104813.92966882896,87333.56094230113,882.0,22.530918340176378
