,業種コード,業種名,企業数
0,3650,電気機器,116
1,6050,卸売業,105
2,3200,化学,97
3,3600,機械,96
4,5250,情報・通信業,75
5,2050,建設業,74
6,9050,サービス業,61
7,6100,小売業,60
8,3700,輸送用機器,49
9,3050,食料品,46
10,5050,陸運業,35
11,3800,その他製品,31
12,3450,鉄鋼,29
13,3400,ガラス・土石製品,25
14,3550,金属製品,25
15,3100,繊維製品,24
16,3250,医薬品,24
17,8050,不動産業,22
18,3750,精密機器,21
19,3500,非鉄金属,18
20,5200,倉庫・運輸関連業,13
21,3150,パルプ・紙,9
22,3350,ゴム製品,7
23,5100,海運業,7
24,4050,電気・ガス業,7
25,3300,石油・石炭製品,5
26,0050,水産・農林業,3
27,1050,鉱業,3
28,5150,空運業,2
